Value,Value_1
76378,71947
71947,33873
33873,96428
96428,105084
105084,95741
95741,110647
110647,100331
100331,94133
94133,103055
103055,90595
90595,101457
101457,76889
76889,81291
81291,91643
91643,96228
96228,102736
102736,100264
100264,103491
103491,97027
97027,95240
95240,91680
91680,101259
101259,109564
109564,76892
76892,85773
85773,95210
95210,93771
93771,98202
98202,97906
97906,100306
100306,94089
94089,102680
102680,77919
77919,93561
93561,117062
117062,81225
81225,88357
88357,106175
106175,91922
91922,104114
104114,109959
109959,97880
97880,105386
105386,96479
96479,97580
97580,109490
109490,110191
110191,90974
90974,98981
98981,107188
107188,94177
94177,115097
115097,113696
113696,114532
114532,120110
120110,93607
93607,110925
110925,103312
103312,120184
120184,103069
103069,103351
103351,111331
111331,106161
106161,111590
111590,99447
99447,101987
101987,85333
85333,86970
86970,100561
100561,89543
89543,89265
89265,82719
82719,79498
79498,74846
74846,73819
73819,77029
77029,78446
78446,86978
86978,75878
75878,69571
69571,75722
75722,64182
64182,77357
77357,63292
63292,59380
59380,78332
78332,72381
72381,55971
55971,69750
69750,85472
85472,70133
70133,79125
79125,85805
85805,81778
81778,86852
86852,69069
69069,79556
79556,88174
88174,66698
66698,72258
72258,73445
73445,76131
76131,86082
86082,75443
75443,73969
73969,78139
78139,78646
78646,66269
66269,73776
73776,80034
80034,70694
70694,81823
81823,75640
75640,75540
75540,82229
82229,75345
75345,77034
77034,78589
78589,79769
79769,75982
75982,78074
78074,77588
77588,84100
84100,97966
97966,89051
89051,93503
93503,84747
84747,74531
74531,91900
91900,81635
81635,89797
89797,81022
81022,78265
78265,77271
77271,85043
85043,95418
95418,79568
79568,103283
103283,95770
95770,91297
91297,101244
101244,114525
114525,101139
101139,93866
93866,95171
95171,100183
100183,103926
103926,102643
102643,108387
108387,97077
97077,90901
90901,90336
90336,88732
88732,83759
83759,99267
99267,73292
73292,78943
78943,94399
94399,92937
92937,90130
90130,91055
91055,106062
106062,103560
103560,104075
104075,101783
101783,93791
93791,102313
102313,82413
82413,83534
83534,109011
109011,96499
96499,102430
102430,103002
103002,91815
91815,99067
99067,110067
110067,101599
101599,97646
97646,104930
104930,88905
88905,89936
89936,106723
106723,84307
84307,114896
114896,106749
106749,87892
87892,100506
