Generation,Train,Test
0,1.00384,1
1,1.00918,1
2,1.09653,1
3,1.09653,1
4,1.09653,1
5,1.09653,1
6,1.1435,1
7,1.1435,1
8,1.1435,1
9,1.31685,1
10,1.36382,1
11,1.50465,1
12,1.53357,1
13,1.53357,1
14,1.53357,1
15,1.53357,1
16,1.53357,1
17,1.53357,1
18,1.53357,1
19,1.53357,1
20,1.53357,1
21,1.57209,0.962735
22,1.57209,0.962735
23,1.57209,0.962735
24,1.57209,0.962735
25,1.57209,0.962735
26,1.57209,0.962735
27,1.57209,0.962735
28,1.57209,0.962735
29,1.61287,1
30,1.61287,1
31,1.61287,1
32,1.61287,1
33,1.61287,1
34,1.61287,1
35,1.61287,1
36,1.61287,1
37,1.61287,1
38,1.61287,1
39,1.61287,1
40,1.61287,1
41,1.61287,1
42,1.61287,1
43,1.61287,1
44,1.61287,1
45,1.61287,1
46,1.61287,1
47,1.61287,1
48,1.61287,1
49,1.61287,1
50,1.62241,1
51,1.67909,1
52,1.67909,1
53,1.67909,1
54,1.67909,1
55,1.67909,1
56,1.67909,1
57,1.67909,1
58,1.67909,1
59,1.67909,1
60,1.67909,1
61,1.67909,1
62,1.67909,1
63,1.71016,1
64,1.71016,1
65,1.71016,1
66,1.71016,1
67,1.71016,1
68,1.71016,1
69,1.71016,1
70,1.71016,1
71,1.71016,1
72,1.71016,1
73,1.71016,1
74,1.71016,1
75,1.71016,1
76,1.71016,1
77,1.71016,1
78,1.71016,1
79,1.71016,1
80,1.71016,1
81,1.71016,1
82,1.71016,1
83,1.71016,1
84,1.71016,1
85,1.71016,1
86,1.71016,1
87,1.71016,1
88,1.71016,1
89,1.71016,1
90,1.71016,1
91,1.71016,1
92,1.71016,1
93,1.71016,1
94,1.71016,1
95,1.71016,1
96,1.71016,1
97,1.71016,1
98,1.71016,1
99,1.71016,1
100,1.71016,1
101,1.71016,1
102,1.71016,1
103,1.72548,1
104,1.72548,1
105,1.72548,1
106,1.72548,1
107,1.72548,1
108,1.72548,1
109,1.72678,1
110,1.72678,1
111,1.73466,1
112,1.73466,1
113,1.73466,1
114,1.73466,1
115,1.73466,1
116,1.73466,1
117,1.73466,1
118,1.73466,1
119,1.73466,1
120,1.73466,1
121,1.73466,1
122,1.73466,1
123,1.73466,1
124,1.73466,1
125,1.73466,1
126,1.73466,1
127,1.73466,1
128,1.73466,1
129,1.73466,1
130,1.73466,1
131,1.73466,1
132,1.73466,1
133,1.73466,1
134,1.73466,1
135,1.73466,1
136,1.73466,1
137,1.73466,1
138,1.73466,1
139,1.73466,1
140,1.73466,1
141,1.73466,1
142,1.73466,1
143,1.73466,1
144,1.73466,1
145,1.73466,1
146,1.73466,1
147,1.73466,1
148,1.73466,1
149,1.73466,1
150,1.73466,1
151,1.73466,1
152,1.73466,1
153,1.73466,1
154,1.73466,1
155,1.73466,1
156,1.73466,1
157,1.73466,1
158,1.73466,1
159,1.73466,1
160,1.73466,1
161,1.73466,1
162,1.73466,1
163,1.73466,1
164,1.73466,1
165,1.73466,1
166,1.73466,1
167,1.73466,1
168,1.73466,1
169,1.73466,1
170,1.73466,1
171,1.73466,1
172,1.73466,1
173,1.73466,1
174,1.73466,1
175,1.73466,1
176,1.73466,1
177,1.73466,1
178,1.73466,1
179,1.73466,1
180,1.73466,1
181,1.73466,1
182,1.73466,1
183,1.73466,1
184,1.73466,1
185,1.73466,1
186,1.73466,1
187,1.73466,1
188,1.73466,1
189,1.73466,1
190,1.73466,1
191,1.73466,1
192,1.73466,1
193,1.73466,1
194,1.73466,1
195,1.73466,1
196,1.73466,1
197,1.73466,1
198,1.73466,1
199,1.73466,1
200,1.73466,1
201,1.73466,1
202,1.73466,1
203,1.73466,1
204,1.73466,1
205,1.73466,1
206,1.73466,1
207,1.73466,1
208,1.73466,1
209,1.73466,1
210,1.73466,1
211,1.73466,1
212,1.73466,1
213,1.73466,1
214,1.73466,1
215,1.73466,1
216,1.73466,1
217,1.73466,1
218,1.73466,1
219,1.73466,1
220,1.73466,1
221,1.73466,1
222,1.73466,1
223,1.73466,1
224,1.73466,1
225,1.73466,1
226,1.73466,1
227,1.73466,1
228,1.73466,1
229,1.73466,1
230,1.73466,1
231,1.73466,1
232,1.73466,1
233,1.73466,1
234,1.73466,1
235,1.73466,1
236,1.73466,1
237,1.73466,1
238,1.73466,1
239,1.73466,1
240,1.73466,1
241,1.73466,1
242,1.73466,1
243,1.73466,1
244,1.73466,1
245,1.73466,1
246,1.73466,1
247,1.73466,1
248,1.73466,1
249,1.73466,1
250,1.73466,1
251,1.73466,1
252,1.73466,1
253,1.73466,1
254,1.73466,1
255,1.73466,1
256,1.73466,1
257,1.73466,1
258,1.73466,1
259,1.73466,1
260,1.73466,1
261,1.73466,1
262,1.73466,1
263,1.73466,1
264,1.73466,1
265,1.73466,1
266,1.73466,1
267,1.73466,1
268,1.73466,1
269,1.73466,1
270,1.73466,1
271,1.73466,1
272,1.73466,1
273,1.73466,1
274,1.73466,1
275,1.73466,1
276,1.73466,1
277,1.73466,1
278,1.73466,1
279,1.73466,1
280,1.73466,1
281,1.73466,1
