Generation,Train,Test
0,0.542857,0.622222
1,0.542857,0.622222
2,0.533333,0.511111
3,0.533333,0.511111
4,0.533333,0.511111
5,0.533333,0.511111
6,0.533333,0.511111
7,0.495238,0.511111
8,0.495238,0.511111
9,0.495238,0.511111
10,0.47619,0.422222
11,0.47619,0.422222
12,0.47619,0.422222
13,0.457143,0.466667
14,0.428571,0.355556
15,0.428571,0.355556
16,0.428571,0.355556
17,0.380952,0.444444
18,0.380952,0.444444
19,0.380952,0.444444
20,0.380952,0.444444
21,0.380952,0.444444
22,0.380952,0.444444
23,0.380952,0.444444
24,0.380952,0.444444
25,0.380952,0.444444
26,0.352381,0.4
27,0.352381,0.4
28,0.352381,0.4
29,0.352381,0.4
30,0.352381,0.4
31,0.352381,0.4
32,0.352381,0.4
33,0.352381,0.4
34,0.352381,0.4
35,0.266667,0.355556
36,0.266667,0.355556
37,0.266667,0.355556
38,0.266667,0.355556
39,0.228571,0.377778
40,0.228571,0.377778
41,0.228571,0.377778
42,0.228571,0.377778
43,0.228571,0.377778
44,0.228571,0.377778
45,0.228571,0.377778
46,0.228571,0.377778
47,0.228571,0.377778
48,0.228571,0.377778
49,0.228571,0.377778
50,0.228571,0.377778
51,0.228571,0.377778
52,0.228571,0.377778
53,0.219048,0.311111
54,0.219048,0.311111
55,0.190476,0.244444
56,0.190476,0.244444
57,0.190476,0.244444
58,0.190476,0.244444
59,0.190476,0.244444
60,0.190476,0.244444
61,0.180952,0.222222
62,0.180952,0.222222
63,0.180952,0.222222
64,0.180952,0.222222
65,0.180952,0.222222
66,0.180952,0.222222
67,0.180952,0.222222
68,0.180952,0.222222
69,0.180952,0.222222
70,0.180952,0.222222
71,0.180952,0.222222
72,0.180952,0.222222
73,0.180952,0.222222
74,0.180952,0.222222
75,0.180952,0.222222
76,0.180952,0.222222
77,0.180952,0.222222
78,0.180952,0.222222
79,0.180952,0.222222
80,0.180952,0.222222
81,0.180952,0.222222
82,0.180952,0.222222
83,0.180952,0.222222
84,0.180952,0.222222
85,0.180952,0.222222
86,0.180952,0.222222
87,0.180952,0.222222
88,0.171429,0.222222
89,0.171429,0.222222
90,0.171429,0.222222
91,0.171429,0.222222
92,0.171429,0.222222
93,0.171429,0.222222
94,0.171429,0.222222
95,0.171429,0.222222
96,0.171429,0.222222
97,0.171429,0.222222
98,0.171429,0.222222
99,0.171429,0.222222
100,0.171429,0.222222
101,0.171429,0.222222
102,0.171429,0.222222
103,0.171429,0.222222
104,0.171429,0.222222
105,0.171429,0.222222
106,0.171429,0.222222
107,0.161905,0.244444
108,0.161905,0.244444
109,0.161905,0.244444
110,0.161905,0.244444
111,0.161905,0.244444
112,0.161905,0.244444
113,0.161905,0.244444
114,0.161905,0.244444
115,0.161905,0.244444
116,0.161905,0.244444
117,0.161905,0.244444
118,0.161905,0.244444
119,0.161905,0.244444
120,0.161905,0.244444
121,0.161905,0.244444
122,0.161905,0.244444
123,0.161905,0.244444
124,0.161905,0.244444
125,0.161905,0.244444
126,0.161905,0.244444
127,0.161905,0.244444
128,0.161905,0.244444
129,0.161905,0.244444
130,0.161905,0.244444
131,0.161905,0.244444
132,0.161905,0.244444
133,0.161905,0.244444
134,0.161905,0.244444
135,0.161905,0.244444
136,0.161905,0.244444
137,0.161905,0.244444
138,0.161905,0.244444
139,0.161905,0.244444
140,0.161905,0.244444
141,0.161905,0.244444
142,0.161905,0.244444
143,0.161905,0.244444
144,0.161905,0.244444
145,0.161905,0.244444
146,0.161905,0.244444
147,0.161905,0.244444
148,0.161905,0.244444
149,0.161905,0.244444
150,0.161905,0.244444
151,0.161905,0.244444
152,0.161905,0.244444
153,0.161905,0.244444
154,0.161905,0.244444
155,0.161905,0.244444
156,0.161905,0.244444
157,0.161905,0.244444
158,0.161905,0.244444
159,0.161905,0.244444
160,0.161905,0.244444
161,0.152381,0.222222
162,0.152381,0.222222
163,0.152381,0.222222
164,0.142857,0.2
165,0.142857,0.2
166,0.142857,0.2
167,0.142857,0.2
168,0.142857,0.2
169,0.142857,0.2
170,0.142857,0.2
171,0.142857,0.2
172,0.142857,0.2
173,0.142857,0.2
174,0.142857,0.2
175,0.142857,0.2
176,0.142857,0.2
177,0.142857,0.2
178,0.142857,0.2
179,0.142857,0.2
180,0.142857,0.2
181,0.142857,0.2
182,0.142857,0.2
183,0.142857,0.2
184,0.142857,0.2
185,0.142857,0.2
186,0.142857,0.2
187,0.142857,0.2
188,0.142857,0.2
189,0.142857,0.2
190,0.142857,0.2
191,0.142857,0.2
192,0.142857,0.2
193,0.142857,0.2
