Generation,Train,Test
0,0.552381,0.555556
1,0.552381,0.555556
2,0.52381,0.488889
3,0.495238,0.511111
4,0.495238,0.511111
5,0.457143,0.444444
6,0.457143,0.444444
7,0.457143,0.444444
8,0.457143,0.444444
9,0.457143,0.444444
10,0.428571,0.488889
11,0.4,0.466667
12,0.4,0.466667
13,0.4,0.466667
14,0.4,0.466667
15,0.4,0.466667
16,0.4,0.466667
17,0.4,0.466667
18,0.4,0.466667
19,0.4,0.466667
20,0.4,0.466667
21,0.4,0.466667
22,0.4,0.466667
23,0.4,0.466667
24,0.4,0.466667
25,0.4,0.466667
26,0.4,0.466667
27,0.4,0.466667
28,0.4,0.466667
29,0.4,0.466667
30,0.4,0.466667
31,0.4,0.466667
32,0.4,0.466667
33,0.4,0.466667
34,0.4,0.466667
35,0.4,0.466667
36,0.4,0.466667
37,0.4,0.466667
38,0.4,0.466667
39,0.390476,0.444444
40,0.390476,0.444444
41,0.390476,0.444444
42,0.390476,0.444444
43,0.390476,0.444444
44,0.390476,0.444444
45,0.380952,0.444444
46,0.380952,0.444444
47,0.380952,0.444444
48,0.380952,0.444444
49,0.371429,0.466667
50,0.371429,0.466667
51,0.371429,0.466667
52,0.371429,0.466667
53,0.371429,0.466667
54,0.371429,0.466667
55,0.371429,0.466667
56,0.371429,0.466667
57,0.371429,0.466667
58,0.371429,0.466667
59,0.371429,0.466667
60,0.371429,0.466667
61,0.371429,0.466667
62,0.371429,0.466667
63,0.371429,0.466667
64,0.371429,0.466667
65,0.371429,0.466667
66,0.371429,0.466667
67,0.371429,0.466667
68,0.371429,0.466667
69,0.371429,0.466667
70,0.371429,0.466667
71,0.371429,0.466667
72,0.371429,0.466667
73,0.371429,0.466667
74,0.371429,0.466667
75,0.371429,0.466667
76,0.371429,0.466667
77,0.371429,0.466667
78,0.371429,0.466667
79,0.371429,0.466667
80,0.371429,0.466667
81,0.371429,0.466667
82,0.371429,0.466667
83,0.371429,0.466667
84,0.371429,0.466667
85,0.371429,0.466667
86,0.371429,0.466667
87,0.371429,0.466667
88,0.371429,0.466667
89,0.371429,0.466667
90,0.371429,0.466667
91,0.371429,0.466667
92,0.371429,0.466667
93,0.371429,0.466667
94,0.371429,0.466667
95,0.371429,0.466667
96,0.371429,0.466667
97,0.371429,0.466667
98,0.371429,0.466667
99,0.371429,0.466667
100,0.371429,0.466667
101,0.371429,0.466667
102,0.371429,0.466667
103,0.371429,0.466667
104,0.371429,0.466667
105,0.371429,0.466667
106,0.371429,0.466667
107,0.371429,0.466667
108,0.371429,0.466667
109,0.371429,0.466667
110,0.371429,0.466667
111,0.371429,0.466667
112,0.371429,0.466667
113,0.371429,0.466667
114,0.371429,0.466667
115,0.371429,0.466667
116,0.371429,0.466667
117,0.371429,0.466667
118,0.371429,0.466667
119,0.371429,0.466667
120,0.371429,0.466667
121,0.371429,0.466667
122,0.371429,0.466667
123,0.371429,0.466667
124,0.371429,0.466667
125,0.371429,0.466667
126,0.371429,0.466667
127,0.371429,0.466667
128,0.371429,0.466667
129,0.371429,0.466667
130,0.371429,0.466667
131,0.371429,0.466667
132,0.371429,0.466667
133,0.371429,0.466667
134,0.371429,0.466667
135,0.371429,0.466667
136,0.371429,0.466667
137,0.371429,0.466667
138,0.371429,0.466667
139,0.371429,0.466667
140,0.371429,0.466667
141,0.371429,0.466667
142,0.371429,0.466667
143,0.371429,0.466667
144,0.371429,0.466667
145,0.371429,0.466667
146,0.371429,0.466667
147,0.371429,0.466667
148,0.371429,0.466667
149,0.371429,0.466667
150,0.371429,0.466667
151,0.371429,0.466667
152,0.371429,0.466667
153,0.371429,0.466667
154,0.371429,0.466667
155,0.371429,0.466667
156,0.371429,0.466667
157,0.371429,0.466667
158,0.371429,0.466667
159,0.371429,0.466667
160,0.371429,0.466667
161,0.371429,0.466667
162,0.371429,0.466667
163,0.371429,0.466667
164,0.371429,0.466667
165,0.371429,0.466667
166,0.371429,0.466667
167,0.371429,0.466667
168,0.371429,0.466667
169,0.371429,0.466667
170,0.371429,0.466667
171,0.371429,0.466667
172,0.371429,0.466667
173,0.371429,0.466667
174,0.371429,0.466667
175,0.371429,0.466667
176,0.371429,0.466667
177,0.371429,0.466667
178,0.371429,0.466667
179,0.371429,0.466667
180,0.371429,0.466667
181,0.371429,0.466667
182,0.371429,0.466667
183,0.371429,0.466667
184,0.371429,0.466667
185,0.371429,0.466667
186,0.371429,0.466667
187,0.371429,0.466667
188,0.371429,0.466667
189,0.371429,0.466667
190,0.371429,0.466667
191,0.371429,0.466667
192,0.371429,0.466667
193,0.371429,0.466667
194,0.371429,0.466667
195,0.371429,0.466667
196,0.371429,0.466667
197,0.371429,0.466667
198,0.371429,0.466667
199,0.371429,0.466667
