Generation,Train,Test
0,1.0054,1
1,1.0054,1
2,1.04024,1
3,1.04024,1
4,1.04024,1
5,1.04024,1
6,1.04024,1
7,1.04024,1
8,1.04024,1
9,1.04024,1
10,1.04024,1
11,1.04024,1
12,1.04024,1
13,1.04024,1
14,1.04024,1
15,1.04024,1
16,1.04024,1
17,1.04024,1
18,1.04024,1
19,1.04024,1
20,1.04024,1
21,1.04024,1
22,1.04024,1
23,1.04304,1
24,1.04304,1
25,1.04304,1
26,1.04304,1
27,1.04304,1
28,1.04304,1
29,1.04304,1
30,1.04304,1
31,1.04304,1
32,1.04304,1
33,1.04304,1
34,1.04304,1
35,1.04304,1
36,1.04304,1
37,1.04304,1
38,1.04304,1
39,1.04304,1
40,1.04304,1
41,1.04304,1
42,1.04304,1
43,1.04304,1
44,1.04304,1
45,1.05804,1
46,1.05804,1
47,1.05804,1
48,1.05804,1
49,1.05804,1
50,1.05804,1
51,1.05804,1
52,1.05804,1
53,1.05804,1
54,1.05804,1
55,1.05804,1
56,1.05804,1
57,1.05804,1
58,1.05804,1
59,1.05804,1
60,1.05804,1
61,1.05804,1
62,1.05804,1
63,1.05804,1
64,1.05804,1
65,1.05804,1
66,1.05804,1
67,1.05804,1
68,1.05804,1
69,1.05804,1
70,1.05804,1
71,1.05804,1
72,1.05804,1
73,1.05804,1
74,1.05804,1
75,1.05804,1
76,1.05804,1
77,1.05804,1
78,1.05804,1
79,1.05804,1
80,1.05804,1
81,1.05804,1
82,1.05804,1
83,1.10338,1
84,1.10338,1
85,1.10338,1
86,1.10338,1
87,1.10338,1
88,1.10338,1
89,1.10338,1
90,1.10338,1
91,1.10338,1
92,1.10338,1
93,1.10338,1
94,1.10495,1
95,1.13116,1
96,1.13116,1
97,1.13116,1
98,1.13116,1
99,1.13116,1.10564
100,1.16007,1.08258
101,1.16041,1.10564
102,1.19145,1.10564
103,1.19145,1.10564
104,1.19145,1.10564
105,1.19145,1.10564
106,1.20363,1.10564
107,1.26302,1.10564
108,1.26302,1.10564
109,1.26302,1.10564
110,1.26302,1.10564
111,1.28134,1.13352
112,1.28134,1.13352
113,1.28134,1.13352
114,1.28134,1.13352
115,1.28134,1.13352
116,1.28213,1.13352
117,1.28213,1.13352
118,1.28213,1.13352
119,1.28216,1.13352
120,1.28216,1.13352
121,1.28216,1.13352
122,1.28216,1.13352
123,1.28216,1.13352
124,1.30048,1.13352
125,1.30048,1.13352
126,1.30048,1.13352
127,1.30048,1.13352
128,1.30328,1.13352
129,1.30328,1.13352
130,1.30328,1.13352
131,1.30328,1.13352
132,1.30328,1.13352
133,1.30328,1.13352
134,1.30328,1.13352
135,1.30328,1.13352
136,1.30328,1.13352
137,1.30328,1.13352
138,1.30328,1.13352
139,1.30328,1.13352
140,1.30328,1.13352
141,1.30328,1.13352
142,1.30328,1.13352
143,1.30328,1.13352
144,1.30328,1.13352
145,1.30328,1.13352
146,1.30328,1.13352
147,1.30328,1.13352
148,1.30328,1.13352
149,1.30328,1.13352
150,1.30328,1.13352
151,1.30328,1.13352
152,1.30328,1.13352
153,1.30328,1.13352
154,1.30328,1.13352
155,1.30328,1.13352
156,1.30328,1.13352
157,1.30328,1.13352
158,1.30328,1.13352
159,1.30328,1.13352
160,1.30328,1.13352
161,1.30328,1.13352
162,1.30328,1.13352
163,1.30328,1.13352
164,1.30328,1.13352
165,1.30328,1.13352
166,1.30328,1.13352
167,1.30328,1.13352
168,1.30328,1.13352
169,1.30328,1.13352
170,1.30328,1.13352
171,1.30328,1.13352
172,1.30328,1.13352
173,1.30328,1.13352
174,1.30328,1.13352
175,1.30328,1.13352
176,1.30328,1.13352
177,1.30328,1.13352
178,1.30328,1.13352
179,1.30328,1.13352
180,1.30328,1.13352
181,1.30328,1.13352
182,1.30328,1.13352
183,1.30328,1.13352
184,1.30328,1.13352
185,1.30328,1.13352
186,1.30328,1.13352
187,1.30328,1.13352
188,1.30328,1.13352
189,1.30328,1.13352
190,1.30328,1.13352
191,1.30328,1.13352
192,1.30328,1.13352
193,1.30328,1.13352
194,1.30328,1.13352
195,1.30328,1.13352
196,1.30328,1.13352
197,1.30328,1.13352
198,1.30328,1.13352
199,1.42675,1.0066
200,1.44248,1.00478
201,1.44248,1.00478
202,1.44248,1.00478
203,1.44248,1.00478
204,1.44248,1.00478
205,1.44248,1.00478
206,1.44248,1.00478
207,1.44248,1.00478
208,1.4787,1.00478
209,1.4787,1.00478
210,1.4787,1.00478
211,1.4787,1.00478
212,1.4787,1.00478
213,1.4787,1.00478
214,1.4787,1.00478
215,1.4787,1.00478
