Generation,Train,Test
0,1.03223,1
1,1.03223,1
2,1.03223,1
3,1.03223,1
4,1.03223,1
5,1.04614,1
6,1.04614,1
7,1.06961,1
8,1.06961,1
9,1.19784,1
10,1.19784,1
11,1.19784,1
12,1.19784,1
13,1.20676,1
14,1.20676,1
15,1.20676,1
16,1.24281,1
17,1.24281,1
18,1.24281,1
19,1.31851,1
20,1.31851,1
21,1.33807,1
22,1.33807,1
23,1.33807,1
24,1.33807,1
25,1.3556,1
26,1.37115,1
27,1.37115,1
28,1.37115,1
29,1.43971,1
30,1.43971,1
31,1.43971,1
32,1.46468,1
33,1.46468,1
34,1.46468,1
35,1.57506,1
36,1.57506,1
37,1.57506,1
38,1.57506,1
39,1.57506,1
40,1.57506,1
41,1.57506,1
42,1.57506,1
43,1.57506,1
44,1.57506,1
45,1.62612,1
46,1.62612,1
47,1.62612,1
48,1.62612,1
49,1.62612,1
50,1.62612,1
51,1.68679,1
52,1.68679,1
53,1.68716,1
54,1.71811,1
55,1.71811,1
56,1.71811,1
57,1.71811,1
58,1.71811,1
59,1.80107,1
60,1.80107,1
61,1.80107,1
62,1.80107,1
63,1.80107,1
64,1.80107,1
65,1.80107,1
66,1.80107,1
67,1.81887,1
68,1.81887,1
69,1.87291,1
70,1.87291,1
71,1.87291,1
72,1.87291,1
73,1.87291,1
74,1.87291,1
75,1.87291,1
76,1.98,1
77,1.98,1
78,1.98,1
79,1.98,1
80,1.98,1
81,1.98,1
82,2.04633,1
83,2.04633,1
84,2.04633,1
85,2.04633,1
86,2.04633,1
87,2.04633,1
88,2.04633,1
89,2.17264,1
90,2.17264,1
91,2.17264,1
92,2.17264,1
93,2.17264,1
94,2.17264,1
95,2.17264,1
96,2.23062,1
97,2.23062,1
98,2.23062,1
99,2.42333,2.12502
100,2.63925,2.06543
101,2.65228,2.12502
102,2.65228,2.12502
103,2.78296,2.11813
104,3.01423,1.31411
105,3.01474,1.31411
106,3.377,1.67002
107,3.377,1.67002
108,3.40625,1.67002
109,3.48619,1.60915
110,3.59592,1.53298
111,3.66461,1.60915
112,3.86116,1.22484
113,3.86116,1.22484
114,3.86116,1.22484
115,3.86116,1.22484
116,3.97832,1.60915
117,4.08988,1.58933
118,4.08988,1.58933
119,4.4372,1.6655
120,4.79352,1.64199
121,4.79352,1.64199
122,4.91844,1.64199
123,5.26975,1.64199
124,5.26975,1.64199
125,5.27094,1.69469
126,5.50535,1.64199
127,5.50535,1.64199
128,5.50535,1.64199
129,5.50535,1.64199
130,5.62749,1.69469
131,5.62749,1.69469
132,5.62894,1.69469
133,5.75667,1.35756
134,5.75667,1.35756
135,5.75667,1.35756
136,5.75667,1.35756
137,5.75667,1.35756
138,5.75667,1.35756
139,5.75667,1.35756
140,5.75667,1.35756
141,5.75667,1.35756
142,5.75667,1.35756
143,5.75667,1.35756
144,5.75667,1.35756
145,5.75667,1.35756
146,5.75667,1.35756
147,5.75667,1.35756
148,5.75667,1.35756
149,5.75667,1.35756
150,5.75667,1.35756
151,5.75667,1.35756
152,5.75667,1.35756
153,5.75667,1.35756
154,5.75667,1.35756
155,5.75667,1.35756
156,5.75667,1.35756
157,5.75667,1.35756
158,5.75667,1.35756
159,5.75667,1.35756
160,5.75667,1.35756
161,5.75667,1.35756
162,5.75667,1.35756
163,5.75667,1.35756
164,5.75667,1.35756
165,5.75667,1.35756
166,5.75667,1.35756
167,5.75667,1.35756
168,5.75667,1.35756
169,5.75667,1.35756
170,5.75667,1.35756
171,5.75667,1.35756
172,5.75667,1.35756
173,5.75667,1.35756
174,5.75667,1.35756
175,5.75667,1.35756
176,5.75667,1.35756
177,5.75667,1.35756
178,5.75667,1.35756
179,5.75667,1.35756
180,5.75667,1.35756
