Generation,Train,Test
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1.03268,1
28,1.03268,1
29,1.03268,1
30,1.03268,1
31,1.03268,1
32,1.03268,1
33,1.03268,1
34,1.05653,1
35,1.14408,1
36,1.19836,1
37,1.19836,1
38,1.19836,1
39,1.26477,1
40,1.26477,1
41,1.26775,1
42,1.26775,1
43,1.26775,1
44,1.26775,1
45,1.26775,1
46,1.26775,1
47,1.26775,1
48,1.26775,1
49,1.26775,1
50,1.26775,1
51,1.26775,1
52,1.26775,1
53,1.26775,1
54,1.26775,1
55,1.26775,1
56,1.26775,1
57,1.26775,1
58,1.26775,1
59,1.26775,1
60,1.26775,1
61,1.26775,1
62,1.26775,1
63,1.26775,1
64,1.26775,1
65,1.26775,1
66,1.26775,1
67,1.31145,1
68,1.31145,1
69,1.31145,1
70,1.31145,1
71,1.31145,1
72,1.31145,1
73,1.31145,1
74,1.31145,1
75,1.31145,1
76,1.31145,1
77,1.31145,1
78,1.31145,1
79,1.31145,1
80,1.31145,1
81,1.31145,1
82,1.31145,1
83,1.31145,1
84,1.31145,1
85,1.31145,1
86,1.31145,1
87,1.31145,1
88,1.31145,1
89,1.31145,1
90,1.31145,1
91,1.31145,1
92,1.31145,1
93,1.31145,1
94,1.31145,1
95,1.31145,1
96,1.31145,1
97,1.31145,1
98,1.31145,1
99,1.31145,1
100,1.31145,1
101,1.31145,1
102,1.31145,1
103,1.31145,1
104,1.31145,1
105,1.31145,1
106,1.31145,1
107,1.31145,1
108,1.31145,1
109,1.31145,1
110,1.31145,1
111,1.31145,1
112,1.31145,1
113,1.31145,1
114,1.31145,1
115,1.31145,1
116,1.31145,1
117,1.31145,1
118,1.31145,1
119,1.31145,1
120,1.31145,1
121,1.31145,1
122,1.31145,1
123,1.31145,1
124,1.31145,1
125,1.32436,1
126,1.32436,1
127,1.32436,1
128,1.32436,1
129,1.32946,1
130,1.32946,1
131,1.32946,1
132,1.32946,1
133,1.32946,1
134,1.32946,1
135,1.32946,1
136,1.32946,1
137,1.32946,1
138,1.32946,1
139,1.32946,1
140,1.36157,1
141,1.36157,1
142,1.36157,1
143,1.36157,1
144,1.36157,1
145,1.36157,1
146,1.36157,1
147,1.36157,1
148,1.36157,1
149,1.36157,1
150,1.36157,1
151,1.36157,1
152,1.36157,1
153,1.36157,1
154,1.36157,1
155,1.36157,1
156,1.36157,1
157,1.36157,1
158,1.36157,1
159,1.36157,1
160,1.36157,1
161,1.36157,1
162,1.36157,1
163,1.36157,1
164,1.36157,1
165,1.36157,1
166,1.36157,1
167,1.36157,1
168,1.36157,1
169,1.36157,1
170,1.36157,1
171,1.36157,1
172,1.36157,1
173,1.36157,1
174,1.36157,1
175,1.36157,1
176,1.36157,1
177,1.36157,1
178,1.36157,1
179,1.36157,1
180,1.36157,1
181,1.36157,1
182,1.36157,1
183,1.36157,1
184,1.36157,1
185,1.36157,1
186,1.36157,1
187,1.36157,1
188,1.36157,1
189,1.36157,1
190,1.36157,1
191,1.36157,1
192,1.36157,1
193,1.36157,1
194,1.36157,1
195,1.36157,1
196,1.36157,1
197,1.36157,1
198,1.36157,1
199,1.36157,1
200,1.36157,1
201,1.36157,1
202,1.36157,1
203,1.36157,1
204,1.36157,1
205,1.36157,1
206,1.36157,1
207,1.36157,1
208,1.36157,1
209,1.36157,1
210,1.36157,1
211,1.36157,1
212,1.36157,1
213,1.36157,1
214,1.36157,1
215,1.36157,1
216,1.36157,1
217,1.36157,1
218,1.36157,1
219,1.36157,1
220,1.36157,1
221,1.36157,1
222,1.36157,1
223,1.36157,1
224,1.36157,1
225,1.36157,1
226,1.36157,1
227,1.36157,1
228,1.36157,1
229,1.36157,1
230,1.36157,1
231,1.36157,1
232,1.36157,1
233,1.36157,1
234,1.36157,1
235,1.36157,1
236,1.36157,1
237,1.36157,1
238,1.36157,1
239,1.36157,1
240,1.36157,1
241,1.36157,1
242,1.36157,1
243,1.36157,1
244,1.36157,1
245,1.36157,1
246,1.36157,1
247,1.36157,1
248,1.36157,1
249,1.36157,1
250,1.36157,1
251,1.36157,1
252,1.36157,1
253,1.36157,1
254,1.36157,1
255,1.36157,1
256,1.36157,1
257,1.36157,1
258,1.36157,1
259,1.36157,1
260,1.36157,1
261,1.36157,1
262,1.36157,1
263,1.36157,1
264,1.36157,1
265,1.36157,1
266,1.36157,1
267,1.36157,1
268,1.36157,1
269,1.36157,1
270,1.36157,1
271,1.36157,1
272,1.36157,1
273,1.36157,1
274,1.36157,1
275,1.36157,1
276,1.36157,1
277,1.36157,1
278,1.36157,1
279,1.36157,1
280,1.36157,1
281,1.36157,1
282,1.36157,1
283,1.36157,1
284,1.36157,1
285,1.36157,1
286,1.36157,1
287,1.36157,1
288,1.36157,1
289,1.36157,1
290,1.36157,1
291,1.36157,1
292,1.36157,1
293,1.36157,1
294,1.36157,1
295,1.36157,1
296,1.36157,1
297,1.36157,1
298,1.36157,1
299,1.36157,1
300,1.36157,1
301,1.36157,1
302,1.36157,1
303,1.36157,1
304,1.36157,1
305,1.36157,1
306,1.36157,1
307,1.36157,1
308,1.36157,1
309,1.36157,1
310,1.36157,1
311,1.36157,1
312,1.36157,1
313,1.36157,1
314,1.36157,1
315,1.36157,1
316,1.36157,1
317,1.36157,1
318,1.36157,1
319,1.36157,1
320,1.36157,1
321,1.36157,1
322,1.36157,1
323,1.36157,1
324,1.36157,1
325,1.36157,1
326,1.36157,1
327,1.36157,1
328,1.36157,1
329,1.36157,1
330,1.36157,1
331,1.36157,1
332,1.36157,1
333,1.36157,1
334,1.36157,1
335,1.36157,1
336,1.36157,1
337,1.36157,1
338,1.36157,1
339,1.36157,1
340,1.36157,1
341,1.36157,1
342,1.36157,1
343,1.36157,1
344,1.36157,1
345,1.36157,1
346,1.36157,1
347,1.36157,1
348,1.36157,1
349,1.36157,1
350,1.36157,1
351,1.36157,1
352,1.36157,1
353,1.36157,1
354,1.36157,1
355,1.36157,1
356,1.36157,1
357,1.36157,1
358,1.36157,1
359,1.36157,1
360,1.36157,1
361,1.36157,1
362,1.36157,1
363,1.36157,1
364,1.36157,1
365,1.36157,1
366,1.36157,1
367,1.36157,1
368,1.36157,1
369,1.36157,1
370,1.36157,1
371,1.36157,1
372,1.36157,1
373,1.36157,1
374,1.36157,1
375,1.36157,1
376,1.36157,1
377,1.36157,1
378,1.36157,1
379,1.36157,1
380,1.36157,1
381,1.36157,1
382,1.36157,1
383,1.36157,1
384,1.36157,1
385,1.36157,1
386,1.36157,1
387,1.36157,1
388,1.36157,1
389,1.36157,1
390,1.36157,1
391,1.36157,1
392,1.36157,1
393,1.36157,1
394,1.36157,1
395,1.36157,1
396,1.36157,1
397,1.36157,1
398,1.36157,1
399,1.36157,1
400,1.36157,1
401,1.36157,1
402,1.36157,1
403,1.36157,1
404,1.36157,1
405,1.36157,1
406,1.36157,1
407,1.36157,1
408,1.36157,1
409,1.36157,1
410,1.36157,1
411,1.36157,1
412,1.36157,1
413,1.36157,1
414,1.36157,1
415,1.36157,1
416,1.36157,1
417,1.36157,1
418,1.36157,1
419,1.36157,1
420,1.36157,1
421,1.36157,1
422,1.36157,1
423,1.36157,1
424,1.36157,1
425,1.36157,1
426,1.36157,1
427,1.36157,1
428,1.36157,1
429,1.36157,1
430,1.36157,1
431,1.36157,1
432,1.36157,1
433,1.36157,1
434,1.36157,1
435,1.36157,1
436,1.36157,1
437,1.36157,1
438,1.36157,1
439,1.36157,1
440,1.36157,1
441,1.36157,1
442,1.36157,1
443,1.36157,1
444,1.36157,1
445,1.36157,1
446,1.36157,1
447,1.36157,1
448,1.36157,1
449,1.36157,1
450,1.36157,1
451,1.36157,1
452,1.36157,1
453,1.36157,1
454,1.36157,1
455,1.36157,1
456,1.36157,1
457,1.37203,1
458,1.37203,1
459,1.37203,1
460,1.37203,1
461,1.37203,1
462,1.37203,1
463,1.37203,1
464,1.37203,1
465,1.37203,1
466,1.37203,1
467,1.37203,1
468,1.37203,1
469,1.37203,1
470,1.37203,1
471,1.37203,1
472,1.37203,1
473,1.37627,1
474,1.37627,1
475,1.37627,1
476,1.37627,1
477,1.37627,1
478,1.37627,1
479,1.42306,1
480,1.42306,1
481,1.42306,1
482,1.42306,1
483,1.45953,1
484,1.45953,1
485,1.45953,1
486,1.45953,1
487,1.45953,1
488,1.45953,1
489,1.45953,1
490,1.45953,1
491,1.45953,1
492,1.45953,1
493,1.45953,1
494,1.45953,1
495,1.45953,1
496,1.45953,1
497,1.45953,1
498,1.45953,1
499,1.49886,1
500,1.49886,1
501,1.49886,1
502,1.49886,1
503,1.49886,1
504,1.49886,1
505,1.49886,1
506,1.49886,1
507,1.49886,1
508,1.49886,1
509,1.49886,1
510,1.49886,1
511,1.49886,1
512,1.49886,1
513,1.49886,1
514,1.49886,1
515,1.49886,1
516,1.49886,1
517,1.49886,1
518,1.49886,1
519,1.49886,1
520,1.49886,1
521,1.49886,1
522,1.49886,1
523,1.49886,1
524,1.49886,1
525,1.49886,1
526,1.49886,1
527,1.49886,1
528,1.49886,1
529,1.49886,1
530,1.49886,1
531,1.49886,1
532,1.49886,1
533,1.49886,1
534,1.49886,1
535,1.49886,1
536,1.49886,1
537,1.49886,1
538,1.49886,1
539,1.49886,1
540,1.49886,1
541,1.49886,1
542,1.49886,1
543,1.49886,1
544,1.49886,1
545,1.49886,1
546,1.49886,1
547,1.49886,1
548,1.49886,1
549,1.49886,1
550,1.49886,1
551,1.49886,1
552,1.49886,1
553,1.49886,1
554,1.49886,1
555,1.49886,1
556,1.49886,1
557,1.49886,1
558,1.49886,1
559,1.49886,1
560,1.49886,1
561,1.49886,1
562,1.49886,1
563,1.49886,1
564,1.49886,1
565,1.49886,1
566,1.49886,1
567,1.49886,1
568,1.49886,1
569,1.49886,1
570,1.49886,1
571,1.49886,1
572,1.49886,1
573,1.49886,1
574,1.49886,1
575,1.49886,1
576,1.49886,1
577,1.49886,1
578,1.49886,1
579,1.49886,1
580,1.49886,1
581,1.49886,1
582,1.49886,1
583,1.49886,1
584,1.49886,1
585,1.49886,1
586,1.49886,1
587,1.49886,1
588,1.49886,1
589,1.49886,1
590,1.49886,1
591,1.49886,1
592,1.49886,1
593,1.49886,1
594,1.49886,1
595,1.49886,1
596,1.49886,1
597,1.49886,1
598,1.49886,1
599,1.50389,1.07855
600,1.62672,1.03827
601,1.62672,1.03827
602,1.62672,1.03827
603,1.62672,1.03827
604,1.72105,1.02995
605,1.72105,1.02995
606,1.72105,1.02995
607,1.72105,1.02995
608,1.72105,1.02995
609,1.72105,1.02995
610,1.72105,1.02995
611,1.72276,1.01732
612,1.72276,1.01732
613,1.72276,1.01732
614,1.72276,1.01732
615,1.72276,1.01732
616,1.72276,1.01732
617,1.72276,1.01732
618,1.72276,1.01732
619,1.72276,1.01732
620,1.72549,1.01732
621,1.72549,1.01732
622,1.72549,1.01732
623,1.72549,1.01732
624,1.72549,1.01732
625,1.73032,1.02262
626,1.73032,1.02262
627,1.73032,1.02262
628,1.73032,1.02262
629,1.73032,1.02262
630,1.73032,1.02262
631,1.73032,1.02262
632,1.73032,1.02262
633,1.73032,1.02262
634,1.73032,1.02262
635,1.73032,1.02262
636,1.73032,1.02262
637,1.73032,1.02262
638,1.73032,1.02262
639,1.73032,1.02262
640,1.73032,1.02262
641,1.73032,1.02262
642,1.73032,1.02262
643,1.73032,1.02262
644,1.73032,1.02262
645,1.73032,1.02262
646,1.73032,1.02262
647,1.73032,1.02262
648,1.73032,1.02262
649,1.73032,1.02262
650,1.73032,1.02262
651,1.73282,0.991772
652,1.73282,0.991772
653,1.73282,0.991772
654,1.73282,0.991772
655,1.73282,0.991772
656,1.73282,0.991772
657,1.73874,1.01669
658,1.73874,1.01669
659,1.73874,1.01669
660,1.73874,1.01669
661,1.73874,1.01669
662,1.73874,1.01669
663,1.73874,1.01669
664,1.73874,1.01669
665,1.73874,1.01669
666,1.73996,0.91723
667,1.73996,0.91723
668,1.73996,0.91723
669,1.74771,1.01833
670,1.74771,1.01833
671,1.75304,1.01833
672,1.76333,0.976168
673,1.82638,1.01669
674,1.82638,1.01669
675,1.82638,1.01669
676,1.91279,1.00884
677,1.91279,1.00884
678,1.93634,1.04513
679,1.9963,1.00884
680,1.9963,1.00884
681,1.9963,1.00884
682,1.9963,1.00884
683,2.00541,1.03868
684,2.00541,1.03868
685,2.07006,1.00884
686,2.07006,1.00884
687,2.07006,1.00884
688,2.07006,1.00884
689,2.07006,1.00884
690,2.07006,1.00884
691,2.07899,1.03868
692,2.11692,1.00884
693,2.11704,1.00884
694,2.11704,1.00884
695,2.11704,1.00884
696,2.13131,1.06349
697,2.13131,1.06349
698,2.13131,1.06349
699,2.13131,1.06349
700,2.13131,1.06349
701,2.13131,1.06349
702,2.13131,1.06349
703,2.13131,1.06349
704,2.13131,1.06349
705,2.13131,1.06349
706,2.13131,1.06349
707,2.13131,1.06349
708,2.13131,1.06349
709,2.13131,1.06349
710,2.13131,1.06349
711,2.13131,1.06349
712,2.13131,1.06349
713,2.13131,1.06349
714,2.13131,1.06349
715,2.13131,1.06349
716,2.13131,1.06349
717,2.13131,1.06349
718,2.13131,1.06349
719,2.13131,1.06349
720,2.25737,1.06349
721,2.25737,1.06349
722,2.25737,1.06349
723,2.25737,1.06349
724,2.25737,1.06349
725,2.25737,1.06349
726,2.25737,1.06349
727,2.27709,1.08501
728,2.32776,1.03378
729,2.32776,1.03378
730,2.32776,1.03378
731,2.32776,1.03378
732,2.32776,1.03378
733,2.32776,1.03378
734,2.32776,1.03378
735,2.32776,1.03378
736,2.32776,1.03378
737,2.32776,1.03378
738,2.33167,1.03378
739,2.33167,1.03378
740,2.36278,1.08936
741,2.36278,1.08936
742,2.36278,1.08936
743,2.36278,1.08936
744,2.36278,1.08936
745,2.36278,1.08936
746,2.36278,1.08936
747,2.36278,1.08936
748,2.36278,1.08936
749,2.36278,1.08936
750,2.36278,1.08936
751,2.36278,1.08936
752,2.36278,1.08936
753,2.36278,1.08936
754,2.36278,1.08936
755,2.36278,1.08936
756,2.36278,1.08936
757,2.36278,1.08936
758,2.36278,1.08936
759,2.36278,1.08936
760,2.3876,1.12367
761,2.3876,1.12367
762,2.3876,1.12367
763,2.3876,1.12367
764,2.3876,1.12367
765,2.3876,1.12367
766,2.3876,1.12367
767,2.3876,1.12367
768,2.3876,1.12367
769,2.3876,1.12367
770,2.3876,1.12367
771,2.3876,1.12367
772,2.3876,1.12367
773,2.3876,1.12367
774,2.3876,1.12367
775,2.3876,1.12367
776,2.3876,1.12367
777,2.3876,1.12367
778,2.3876,1.12367
779,2.3876,1.12367
780,2.3876,1.12367
781,2.3876,1.12367
782,2.3876,1.12367
783,2.3876,1.12367
784,2.3876,1.12367
785,2.3876,1.12367
786,2.3876,1.12367
787,2.3876,1.12367
788,2.3876,1.12367
789,2.3876,1.12367
790,2.3876,1.12367
791,2.3876,1.12367
792,2.3876,1.12367
793,2.3876,1.12367
794,2.3876,1.12367
795,2.3876,1.12367
796,2.3876,1.12367
797,2.3876,1.12367
798,2.3876,1.12367
799,2.3876,1.12367
800,2.3876,1.12367
801,2.3876,1.12367
802,2.3876,1.12367
803,2.3876,1.12367
804,2.3876,1.12367
805,2.3876,1.12367
806,2.3876,1.12367
807,2.3876,1.12367
808,2.3876,1.12367
809,2.3876,1.12367
810,2.3876,1.12367
811,2.3876,1.12367
812,2.3876,1.12367
813,2.3876,1.12367
814,2.3876,1.12367
815,2.3876,1.12367
816,2.3876,1.12367
817,2.3876,1.12367
818,2.3876,1.12367
819,2.3876,1.12367
820,2.3876,1.12367
821,2.3876,1.12367
822,2.3876,1.12367
823,2.3876,1.12367
824,2.3876,1.12367
825,2.3876,1.12367
826,2.3876,1.12367
827,2.3876,1.12367
828,2.3876,1.12367
829,2.3876,1.12367
830,2.3876,1.12367
831,2.3876,1.12367
832,2.3876,1.12367
833,2.3876,1.12367
834,2.3876,1.12367
835,2.3876,1.12367
836,2.3876,1.12367
837,2.3876,1.12367
838,2.3876,1.12367
839,2.3876,1.12367
840,2.3876,1.12367
841,2.3876,1.12367
842,2.3876,1.12367
843,2.3876,1.12367
844,2.3876,1.12367
845,2.3876,1.12367
846,2.3876,1.12367
847,2.3876,1.12367
848,2.3876,1.12367
849,2.3876,1.12367
850,2.3876,1.12367
851,2.3876,1.12367
852,2.3876,1.12367
853,2.3876,1.12367
854,2.3876,1.12367
855,2.3876,1.12367
856,2.3876,1.12367
857,2.3876,1.12367
858,2.3876,1.12367
859,2.3876,1.12367
860,2.3876,1.12367
861,2.3876,1.12367
862,2.3876,1.12367
863,2.3876,1.12367
864,2.3876,1.12367
865,2.3876,1.12367
