Generation,Train,Test
0,1.01918,1
1,1.09014,1
2,1.09014,1
3,1.09014,1
4,1.09014,1
5,1.09014,1
6,1.09014,1
7,1.09014,1
8,1.09014,1
9,1.09014,1
10,1.09014,1
11,1.09014,1
12,1.10358,1
13,1.10358,1
14,1.10358,1
15,1.12153,1
16,1.12153,1
17,1.12153,1
18,1.12153,1
19,1.12153,1
20,1.12153,1
21,1.12153,1
22,1.12153,1
23,1.12153,1
24,1.12153,1
25,1.12153,1
26,1.17145,1
27,1.17145,1
28,1.17145,1
29,1.17145,1
30,1.17145,1
31,1.17145,1
32,1.17145,1
33,1.17145,1
34,1.17549,1
35,1.17549,1
36,1.17549,1
37,1.17549,1
38,1.17549,1
39,1.17549,1
40,1.17549,1
41,1.17549,1
42,1.17549,1
43,1.18288,1
44,1.18288,1
45,1.18288,1
46,1.18288,1
47,1.18288,1
48,1.18288,1
49,1.18288,1
50,1.18288,1
51,1.18288,1
52,1.18288,1
53,1.18288,1
54,1.18288,1
55,1.18288,1
56,1.18288,1
57,1.18288,1
58,1.18288,1
59,1.18288,1
60,1.18288,1
61,1.18288,1
62,1.18288,1
63,1.18288,1
64,1.18288,1
65,1.18288,1
66,1.18288,1
67,1.18288,1
68,1.18288,1
69,1.18288,1
70,1.18288,1
71,1.18288,1
72,1.18288,1
73,1.18288,1
74,1.18288,1
75,1.18288,1
76,1.18288,1
77,1.18288,1
78,1.18288,1
79,1.18288,1
80,1.18288,1
81,1.18288,1
82,1.18288,1
83,1.18288,1
84,1.18288,1
85,1.18288,1
86,1.18288,1
87,1.18288,1
88,1.18288,1
89,1.18288,1
90,1.18288,1
91,1.18288,1
92,1.18288,1
93,1.18288,1
94,1.18288,1
95,1.18288,1
96,1.18288,1
97,1.18288,1
98,1.18288,1
99,1.18288,1.24212
100,1.18288,1.24212
101,1.18288,1.24212
102,1.18288,1.24212
103,1.18288,1.24212
104,1.18288,1.24212
105,1.18288,1.24212
106,1.18288,1.24212
107,1.18288,1.24212
108,1.18288,1.24212
109,1.18288,1.24212
110,1.18288,1.24212
111,1.18288,1.24212
112,1.18288,1.24212
113,1.18288,1.24212
114,1.18288,1.24212
115,1.18288,1.24212
116,1.18288,1.24212
117,1.23974,1.0727
118,1.23974,1.0727
119,1.23974,1.0727
120,1.23974,1.0727
121,1.23974,1.0727
122,1.23974,1.0727
123,1.23974,1.0727
124,1.23974,1.0727
125,1.23974,1.0727
126,1.23974,1.0727
127,1.23974,1.0727
128,1.23974,1.0727
129,1.23974,1.0727
130,1.23974,1.0727
131,1.23974,1.0727
132,1.23974,1.0727
133,1.23974,1.0727
134,1.23974,1.0727
135,1.23974,1.0727
136,1.25678,1.0727
137,1.25678,1.0727
138,1.25678,1.0727
139,1.25678,1.0727
140,1.25678,1.0727
141,1.25678,1.0727
142,1.25678,1.0727
143,1.26343,1.0727
144,1.26343,1.0727
145,1.26343,1.0727
146,1.26343,1.0727
147,1.26343,1.0727
148,1.26343,1.0727
149,1.26343,1.0727
150,1.26343,1.0727
151,1.26343,1.0727
152,1.26343,1.0727
153,1.26343,1.0727
154,1.26343,1.0727
155,1.26343,1.0727
156,1.3438,1.0727
157,1.3438,1.0727
158,1.3438,1.0727
159,1.3438,1.0727
160,1.3438,1.0727
161,1.3438,1.0727
162,1.3438,1.0727
163,1.3438,1.0727
164,1.3438,1.0727
165,1.3438,1.0727
166,1.3438,1.0727
167,1.3438,1.0727
168,1.3438,1.0727
169,1.3438,1.0727
170,1.3438,1.0727
171,1.34934,1.13258
172,1.37105,1.19988
173,1.37105,1.19988
174,1.39081,1.19988
175,1.39081,1.19988
176,1.39081,1.19988
177,1.39081,1.19988
178,1.39081,1.19988
