Generation,Train,Test
0,1,1
1,1,1
2,1.00446,1
3,1.00446,1
4,1.00446,1
5,1.00446,1
6,1.00446,1
7,1.00446,1
8,1.00446,1
9,1.00446,1
10,1.00446,1
11,1.00446,1
12,1.00446,1
13,1.00446,1
14,1.00446,1
15,1.13059,1
16,1.16044,1
17,1.16044,1
18,1.16044,1
19,1.16044,1
20,1.16044,1
21,1.16044,1
22,1.16044,1
23,1.16044,1
24,1.16044,1
25,1.16044,1
26,1.16044,1
27,1.16044,1
28,1.16044,1
29,1.16044,1
30,1.16044,1
31,1.16044,1
32,1.16044,1
33,1.16044,1
34,1.16044,1
35,1.16959,1
36,1.16959,1
37,1.16959,1
38,1.16959,1
39,1.16959,1
40,1.16959,1
41,1.16959,1
42,1.16959,1
43,1.1729,1
44,1.1729,1
45,1.1729,1
46,1.1729,1
47,1.1729,1
48,1.1729,1
49,1.1729,1
50,1.1729,1
51,1.1729,1
52,1.1729,1
53,1.1729,1
54,1.1729,1
55,1.1729,1
56,1.1729,1
57,1.1729,1
58,1.1729,1
59,1.1729,1
60,1.1729,1
61,1.1729,1
62,1.1729,1
63,1.1729,1
64,1.1729,1
65,1.1729,1
66,1.1729,1
67,1.1729,1
68,1.1729,1
69,1.1729,1
70,1.1729,1
71,1.1729,1
72,1.1729,1
73,1.1729,1
74,1.1729,1
75,1.1729,1
76,1.1729,1
77,1.1729,1
78,1.1729,1
79,1.1729,1
80,1.1729,1
81,1.1729,1
82,1.1729,1
83,1.1729,1
84,1.1729,1
85,1.1729,1
86,1.1729,1
87,1.1729,1
88,1.1729,1
89,1.1729,1
90,1.1729,1
91,1.1729,1
92,1.1729,1
93,1.1729,1
94,1.1729,1
95,1.1729,1
96,1.1729,1
97,1.1729,1
98,1.1729,1
99,1.1729,1.17019
100,1.1729,1.17019
101,1.1729,1.17019
102,1.1729,1.17019
103,1.1729,1.17019
104,1.1729,1.17019
105,1.1729,1.17019
106,1.1729,1.17019
107,1.1729,1.17019
108,1.1729,1.17019
109,1.1729,1.17019
110,1.1729,1.17019
111,1.1729,1.17019
112,1.21998,1.00877
113,1.21998,1.00877
114,1.21998,1.00877
115,1.21998,1.00877
116,1.21998,1.00877
117,1.21998,1.00877
118,1.21998,1.00877
119,1.25427,1.00877
120,1.25427,1.00877
121,1.25427,1.00877
122,1.25427,1.00877
123,1.25427,1.00877
124,1.25427,1.00877
125,1.25427,1.00877
126,1.31095,1.00877
127,1.31095,1.00877
128,1.31095,1.00877
129,1.31095,1.00877
130,1.31095,1.00877
131,1.31095,1.00877
132,1.31095,1.00877
133,1.31095,1.00877
134,1.31095,1.00877
135,1.31095,1.00877
136,1.31095,1.00877
137,1.31095,1.00877
138,1.31698,1.00877
139,1.31698,1.00877
140,1.31698,1.00877
141,1.31698,1.00877
142,1.31698,1.00877
143,1.31698,1.00877
144,1.31698,1.00877
145,1.31698,1.00877
146,1.31698,1.00877
147,1.31698,1.00877
148,1.31698,1.00877
149,1.31698,1.00877
150,1.31698,1.00877
151,1.31698,1.00877
152,1.31698,1.00877
153,1.31698,1.00877
154,1.31698,1.00877
155,1.31698,1.00877
156,1.31698,1.00877
157,1.31698,1.00877
158,1.31698,1.00877
159,1.31698,1.00877
160,1.31698,1.00877
161,1.31698,1.00877
162,1.31698,1.00877
163,1.31698,1.00877
164,1.31698,1.00877
165,1.31698,1.00877
166,1.31698,1.00877
167,1.31698,1.00877
168,1.31698,1.00877
169,1.31698,1.00877
170,1.31698,1.00877
171,1.31698,1.00877
172,1.31698,1.00877
173,1.31698,1.00877
174,1.31698,1.00877
175,1.31698,1.00877
176,1.31698,1.00877
177,1.31698,1.00877
178,1.31698,1.00877
179,1.31698,1.00877
180,1.31698,1.00877
181,1.31698,1.00877
182,1.31698,1.00877
183,1.31698,1.00877
184,1.31698,1.00877
185,1.31698,1.00877
186,1.31698,1.00877
187,1.31698,1.00877
188,1.31698,1.00877
189,1.31698,1.00877
190,1.31698,1.00877
191,1.31698,1.00877
192,1.31698,1.00877
193,1.31698,1.00877
194,1.31698,1.00877
195,1.31698,1.00877
196,1.31698,1.00877
197,1.31698,1.00877
198,1.31698,1.00877
199,1.46553,0.978448
200,1.52704,0.962079
201,1.52704,0.962079
202,1.52704,0.962079
203,1.52704,0.962079
204,1.52704,0.962079
205,1.52704,0.962079
206,1.52704,0.962079
207,1.52704,0.962079
208,1.52704,0.962079
209,1.52704,0.962079
210,1.59607,0.903595
211,1.59607,0.903595
212,1.59607,0.903595
213,1.61925,0.962079
214,1.61925,0.962079
215,1.61925,0.962079
216,1.73327,0.779838
217,1.73327,0.779838
218,1.73327,0.779838
219,1.73327,0.779838
220,1.73327,0.779838
221,1.73327,0.779838
222,1.73721,0.792291
223,1.81003,0.88251
224,1.81003,0.88251
225,2.35754,0.789297
226,2.35754,0.789297
227,2.35858,0.789297
228,2.35858,0.789297
229,2.38675,0.822757
230,2.38675,0.822757
231,2.38675,0.822757
232,2.38675,0.822757
233,2.38675,0.822757
234,2.40121,0.822757
235,2.54288,0.908257
236,2.54288,0.908257
237,2.54288,0.908257
238,2.54288,0.908257
239,2.54674,0.889867
240,2.57493,0.908257
241,2.57493,0.908257
242,2.57493,0.908257
243,2.57493,0.908257
244,2.57493,0.908257
245,2.57493,0.908257
246,2.57493,0.908257
247,2.57493,0.908257
248,2.57493,0.908257
249,2.57493,0.908257
250,2.57493,0.908257
251,2.57493,0.908257
252,2.57493,0.908257
253,2.57493,0.908257
254,2.57493,0.908257
255,2.57493,0.908257
256,2.57493,0.908257
257,2.57493,0.908257
258,2.57493,0.908257
259,2.57493,0.908257
260,2.57493,0.908257
261,2.57493,0.908257
262,2.57493,0.908257
263,2.57493,0.908257
264,2.57493,0.908257
265,2.57493,0.908257
266,2.57493,0.908257
267,2.57493,0.908257
268,2.57493,0.908257
269,2.57493,0.908257
270,2.57493,0.908257
271,2.57493,0.908257
272,2.57493,0.908257
273,2.57493,0.908257
274,2.57493,0.908257
275,2.57493,0.908257
276,2.57597,0.905021
277,2.57597,0.905021
278,2.57597,0.905021
279,2.57597,0.905021
280,2.57597,0.905021
281,2.57597,0.905021
282,2.57597,0.905021
283,2.57597,0.905021
284,2.57597,0.905021
285,2.57597,0.905021
286,2.57597,0.905021
287,2.57597,0.905021
288,2.57597,0.905021
289,2.57597,0.905021
290,2.57597,0.905021
291,2.57597,0.905021
292,2.57597,0.905021
293,2.57597,0.905021
294,2.57597,0.905021
295,2.57597,0.905021
296,2.57597,0.905021
297,2.57597,0.905021
298,2.57597,0.905021
299,2.57597,1.28854
300,2.57597,1.28854
301,2.57597,1.28854
302,2.57597,1.28854
303,2.57597,1.28854
304,2.57597,1.28854
305,2.57597,1.28854
306,2.57597,1.28854
307,2.57597,1.28854
308,2.57597,1.28854
309,2.57597,1.28854
310,2.57597,1.28854
311,2.57597,1.28854
312,2.57597,1.28854
313,2.57597,1.28854
314,2.57597,1.28854
315,2.57597,1.28854
316,2.57597,1.28854
317,2.57597,1.28854
318,2.57597,1.28854
319,2.57597,1.28854
320,2.57597,1.28854
321,2.57597,1.28854
322,2.57597,1.28854
323,2.57597,1.28854
324,2.57597,1.28854
325,2.57597,1.28854
326,2.57597,1.28854
327,2.57597,1.28854
328,2.57597,1.28854
329,2.57597,1.28854
330,2.57597,1.28854
331,2.57597,1.28854
332,2.57597,1.28854
333,2.57597,1.28854
334,2.57597,1.28854
335,2.57597,1.28854
336,2.57597,1.28854
337,2.57597,1.28854
338,2.57597,1.28854
339,2.57597,1.28854
340,2.57597,1.28854
341,2.57597,1.28854
342,2.57597,1.28854
343,2.57597,1.28854
344,2.57597,1.28854
345,2.57597,1.28854
346,2.57597,1.28854
347,2.57597,1.28854
348,2.57597,1.28854
349,2.57597,1.28854
350,2.57597,1.28854
351,2.57597,1.28854
352,2.57597,1.28854
353,2.57597,1.28854
354,2.57597,1.28854
355,2.57597,1.28854
356,2.57597,1.28854
357,2.57597,1.28854
358,2.57597,1.28854
359,2.57597,1.28854
360,2.57597,1.28854
361,2.57597,1.28854
362,2.57597,1.28854
363,2.57597,1.28854
364,2.57597,1.28854
365,2.57597,1.28854
366,2.57597,1.28854
367,2.57597,1.28854
368,2.57597,1.28854
369,2.57597,1.28854
370,2.57597,1.28854
371,2.57597,1.28854
372,2.57597,1.28854
373,2.57597,1.28854
374,2.57597,1.28854
375,2.57597,1.28854
376,2.57597,1.28854
377,2.57597,1.28854
378,2.57597,1.28854
379,2.57597,1.28854
380,2.57597,1.28854
381,2.57597,1.28854
382,2.57597,1.28854
383,2.57597,1.28854
384,2.57597,1.28854
385,2.57597,1.28854
386,2.57597,1.28854
387,2.57597,1.28854
388,2.57597,1.28854
389,2.57597,1.28854
390,2.57597,1.28854
391,2.57597,1.28854
392,2.57597,1.28854
393,2.57597,1.28854
394,2.57597,1.28854
395,2.57597,1.28854
396,2.57597,1.28854
397,2.57597,1.28854
398,2.57597,1.28854
399,2.57597,0.789071
400,2.76806,0.789071
401,2.76806,0.789071
402,2.76806,0.789071
403,2.77981,0.789071
404,2.77981,0.789071
405,2.77981,0.789071
406,2.77981,0.789071
407,2.81922,0.789071
408,2.81922,0.789071
409,2.81922,0.789071
410,2.81922,0.789071
411,2.83097,0.779658
412,2.91172,0.755978
413,2.91172,0.755978
414,2.91172,0.755978
415,2.93264,0.755978
416,2.93264,0.755978
417,2.93264,0.755978
418,2.93264,0.755978
419,2.96434,0.789071
420,2.96434,0.789071
421,3.00782,0.811635
422,3.00782,0.811635
423,3.00782,0.811635
424,3.06583,0.75832
425,3.06583,0.75832
426,3.06583,0.75832
427,3.06583,0.75832
428,3.06583,0.75832
429,3.06583,0.75832
430,3.06583,0.75832
431,3.16077,0.779658
432,3.16077,0.779658
433,3.16077,0.779658
434,3.18424,0.779658
435,3.18424,0.779658
436,3.19101,0.779658
437,3.19101,0.779658
438,3.19101,0.779658
439,3.19101,0.779658
440,3.19101,0.779658
441,3.19101,0.779658
442,3.19101,0.779658
443,3.19101,0.779658
444,3.19101,0.779658
445,3.19101,0.779658
446,3.19101,0.779658
447,3.19101,0.779658
448,3.19351,0.78557
449,3.19351,0.78557
450,3.19351,0.78557
451,3.23892,0.78557
452,3.23892,0.78557
453,3.23892,0.78557
454,3.23892,0.78557
455,3.23892,0.78557
456,3.23892,0.78557
457,3.23892,0.78557
458,3.23892,0.78557
459,3.23892,0.78557
460,3.23892,0.78557
461,3.26789,0.790549
462,3.26789,0.790549
463,3.26789,0.790549
464,3.26789,0.790549
465,3.26789,0.790549
466,3.26789,0.790549
467,3.26789,0.790549
468,3.26789,0.790549
469,3.26789,0.790549
470,3.26789,0.790549
471,3.27099,0.779658
472,3.27099,0.779658
473,3.27099,0.779658
474,3.27099,0.779658
475,3.27099,0.779658
476,3.27099,0.779658
477,3.27099,0.779658
478,3.27099,0.779658
479,3.27099,0.779658
480,3.27099,0.779658
481,3.27099,0.779658
482,3.27099,0.779658
483,3.27099,0.779658
484,3.27099,0.779658
485,3.27099,0.779658
486,3.27099,0.779658
487,3.27099,0.779658
488,3.27099,0.779658
489,3.27099,0.779658
490,3.27099,0.779658
491,3.27099,0.779658
492,3.27099,0.779658
493,3.27099,0.779658
494,3.27099,0.779658
495,3.27099,0.779658
496,3.27099,0.779658
497,3.27099,0.779658
498,3.27099,0.779658
499,3.27099,1
500,3.27099,1
501,3.27099,1
502,3.27099,1
503,3.27099,1
504,3.27099,1
505,3.27099,1
506,3.27099,1
507,3.27099,1
508,3.27099,1
509,3.27099,1
510,3.27099,1
511,3.27099,1
512,3.27099,1
513,3.27099,1
514,3.27099,1
515,3.27099,1
516,3.27099,1
517,3.27099,1
518,3.27099,1
519,3.27099,1
520,3.27099,1
521,3.27099,1
522,3.27099,1
523,3.27099,1
524,3.27099,1
525,3.27099,1
526,3.27099,1
527,3.27099,1
528,3.27099,1
529,3.27099,1
530,3.27099,1
531,3.27099,1
532,3.27099,1
533,3.27099,1
534,3.27099,1
535,3.27099,1
536,3.27099,1
537,3.27099,1
538,3.27099,1
539,3.27099,1
540,3.27099,1
541,3.27099,1
542,3.27099,1
543,3.27099,1
544,3.27099,1
545,3.27099,1
546,3.27099,1
547,3.27099,1
548,3.27099,1
549,3.27099,1
550,3.27099,1
551,3.27099,1
552,3.27099,1
553,3.27099,1
554,3.27099,1
555,3.27099,1
556,3.27099,1
557,3.27099,1
558,3.27099,1
559,3.27099,1
560,3.27099,1
561,3.27099,1
562,3.27099,1
563,3.27099,1
564,3.27099,1
565,3.27099,1
566,3.27099,1
567,3.27099,1
568,3.27099,1
569,3.27099,1
570,3.27099,1
571,3.27099,1
572,3.27099,1
573,3.27099,1
574,3.27099,1
575,3.27099,1
576,3.27099,1
577,3.27099,1
578,3.27099,1
579,3.27099,1
580,3.27099,1
581,3.27099,1
582,3.27099,1
583,3.27099,1
584,3.27099,1
585,3.27099,1
586,3.27099,1
587,3.27099,1
588,3.27099,1
589,3.27099,1
590,3.27099,1
591,3.27099,1
592,3.27099,1
593,3.27099,1
594,3.27099,1
595,3.27099,1
596,3.27099,1
597,3.27099,1
598,3.27099,1
599,3.27099,0.982519
600,3.27099,0.982519
601,3.27099,0.982519
602,3.27099,0.982519
603,3.27099,0.982519
604,3.27099,0.982519
605,3.27099,0.982519
606,3.27099,0.982519
607,3.27099,0.982519
608,3.27099,0.982519
609,3.27099,0.982519
610,3.27099,0.982519
611,3.27099,0.982519
612,3.27099,0.982519
613,3.27099,0.982519
614,3.27099,0.982519
615,3.27099,0.982519
616,3.27099,0.982519
617,3.27099,0.982519
618,3.27099,0.982519
619,3.27099,0.982519
620,3.27099,0.982519
621,3.27099,0.982519
622,3.27099,0.982519
623,3.27099,0.982519
624,3.27099,0.982519
625,3.27099,0.982519
626,3.27099,0.982519
627,3.27099,0.982519
628,3.27099,0.982519
629,3.27099,0.982519
630,3.27099,0.982519
631,3.27099,0.982519
632,3.27099,0.982519
633,3.27099,0.982519
634,3.27099,0.982519
635,3.27099,0.982519
636,3.27099,0.982519
637,3.27099,0.982519
638,3.27099,0.982519
639,3.27099,0.982519
640,3.27099,0.982519
641,3.27099,0.982519
642,3.27099,0.982519
643,3.27099,0.982519
644,3.27099,0.982519
645,3.27099,0.982519
646,3.27099,0.982519
647,3.27099,0.982519
648,3.27099,0.982519
649,3.27099,0.982519
650,3.27099,0.982519
651,3.27099,0.982519
652,3.27099,0.982519
653,3.27099,0.982519
654,3.27099,0.982519
655,3.27099,0.982519
656,3.27099,0.982519
657,3.27099,0.982519
658,3.27099,0.982519
659,3.27099,0.982519
660,3.27099,0.982519
661,3.27099,0.982519
662,3.27099,0.982519
663,3.27099,0.982519
664,3.27099,0.982519
665,3.27099,0.982519
666,3.27099,0.982519
667,3.27099,0.982519
668,3.27099,0.982519
669,3.27099,0.982519
670,3.27099,0.982519
671,3.27099,0.982519
672,3.27099,0.982519
673,3.27099,0.982519
674,3.27099,0.982519
675,3.27099,0.982519
676,3.27099,0.982519
677,3.27099,0.982519
678,3.27099,0.982519
679,3.27099,0.982519
680,3.27099,0.982519
681,3.27099,0.982519
682,3.27099,0.982519
683,3.27099,0.982519
684,3.27099,0.982519
685,3.27099,0.982519
686,3.27099,0.982519
687,3.27099,0.982519
688,3.27099,0.982519
689,3.27099,0.982519
690,3.27099,0.982519
691,3.27099,0.982519
692,3.27099,0.982519
693,3.27099,0.982519
694,3.27099,0.982519
695,3.27099,0.982519
696,3.27099,0.982519
697,3.27099,0.982519
698,3.27099,0.982519
699,3.27099,0.828948
700,3.27099,0.828948
701,3.27099,0.828948
702,3.27099,0.828948
703,3.27099,0.828948
704,3.27099,0.828948
705,3.27099,0.828948
706,3.27099,0.828948
707,3.27099,0.828948
708,3.27099,0.828948
709,3.27099,0.828948
710,3.27099,0.828948
711,3.27099,0.828948
712,3.27099,0.828948
713,3.27099,0.828948
714,3.27099,0.828948
715,3.27099,0.828948
716,3.27099,0.828948
717,3.27099,0.828948
718,3.27099,0.828948
719,3.27099,0.828948
720,3.27099,0.828948
721,3.27099,0.828948
722,3.27099,0.828948
723,3.27099,0.828948
724,3.27099,0.828948
725,3.27099,0.828948
726,3.27099,0.828948
727,3.27099,0.828948
728,3.27099,0.828948
729,3.27099,0.828948
730,3.27099,0.828948
731,3.27099,0.828948
732,3.27099,0.828948
733,3.27099,0.828948
734,3.27099,0.828948
735,3.27099,0.828948
736,3.27099,0.828948
737,3.27099,0.828948
738,3.27099,0.828948
739,3.27099,0.828948
740,3.27099,0.828948
741,3.27099,0.828948
742,3.27099,0.828948
743,3.27099,0.828948
744,3.27099,0.828948
745,3.27099,0.828948
746,3.27099,0.828948
747,3.27099,0.828948
748,3.27099,0.828948
749,3.27099,0.828948
750,3.27099,0.828948
751,3.27099,0.828948
752,3.27099,0.828948
753,3.27099,0.828948
754,3.27099,0.828948
755,3.27099,0.828948
756,3.27099,0.828948
757,3.27099,0.828948
758,3.27099,0.828948
759,3.27099,0.828948
