Generation,Train,Test
0,1.02171,1
1,1.09657,1
2,1.09657,1
3,1.09657,1
4,1.09657,1
5,1.09657,1
6,1.35155,1
7,1.35155,1
8,1.36258,1
9,1.36258,1
10,1.36258,1
11,1.36258,1
12,1.36725,1
13,1.36725,1
14,1.36725,1
15,1.39309,1
16,1.39309,1
17,1.39309,1
18,1.39309,1
19,1.39776,1
20,1.39776,1
21,1.39776,1
22,1.39776,1
23,1.39776,1
24,1.39776,1
25,1.39776,1
26,1.55845,1
27,1.56509,1
28,1.56509,1
29,1.56509,1
30,1.56509,1
31,1.62128,1
32,1.62128,1
33,1.62128,1
34,1.62128,1
35,1.62793,1
36,1.62793,1
37,1.71104,1
38,1.71104,1
39,1.71104,1
40,1.71104,1
41,1.71104,1
42,1.71104,1
43,1.71104,1
44,1.71104,1
45,1.71104,1
46,1.71104,1
47,1.71104,1
48,1.71104,1
49,1.71104,1
50,1.71104,1
51,1.71104,1
52,1.71104,1
53,1.71104,1
54,1.71104,1
55,1.71104,1
56,1.71104,1
57,1.71104,1
58,1.71104,1
59,1.71104,1
60,1.71104,1
61,1.74932,1
62,1.74932,1
63,1.74932,1
64,1.74932,1
65,1.74932,1
66,1.74932,1
67,1.74932,1
68,1.74932,1
69,1.74932,1
70,1.74932,1
71,1.74932,1
72,1.74932,1
73,1.74932,1
74,1.74932,1
75,1.74932,1
76,1.74932,1
77,1.74932,1
78,1.74932,1
79,1.74932,1
80,1.74932,1
81,1.74932,1
82,1.74932,1
83,1.74932,1
84,1.74932,1
85,1.74932,1
86,1.74932,1
87,1.74932,1
88,1.74932,1
89,1.74932,1
90,1.74932,1
91,1.74932,1
92,1.74932,1
93,1.74932,1
94,1.74932,1
95,1.74932,1
96,1.74932,1
97,1.74932,1
98,1.74932,1
99,1.74932,1.52232
100,1.74932,1.52232
101,1.74932,1.52232
102,1.74932,1.52232
103,1.74932,1.52232
104,1.74932,1.52232
105,1.74932,1.52232
106,1.74932,1.52232
107,1.74932,1.52232
108,1.74932,1.52232
109,1.74932,1.52232
110,1.74932,1.52232
111,1.74932,1.52232
112,1.74932,1.52232
113,1.74932,1.52232
114,1.74932,1.52232
115,1.74932,1.52232
116,1.74932,1.52232
117,1.74932,1.52232
118,1.74932,1.52232
119,1.74932,1.52232
120,1.74932,1.52232
121,1.74932,1.52232
122,1.74932,1.52232
123,1.74932,1.52232
124,1.74932,1.52232
125,1.74932,1.52232
126,1.74932,1.52232
127,1.74932,1.52232
128,1.74932,1.52232
129,1.74932,1.52232
130,1.74932,1.52232
131,1.74932,1.52232
132,1.74932,1.52232
133,1.74932,1.52232
134,1.74932,1.52232
135,1.74932,1.52232
136,1.74932,1.52232
137,1.74932,1.52232
138,1.74932,1.52232
139,1.74932,1.52232
140,1.74932,1.52232
141,1.74932,1.52232
142,1.74932,1.52232
143,1.74932,1.52232
144,1.74932,1.52232
145,1.74932,1.52232
146,1.74932,1.52232
147,1.74932,1.52232
148,1.74932,1.52232
149,1.74932,1.52232
150,1.74932,1.52232
151,1.74932,1.52232
152,1.74932,1.52232
153,1.74932,1.52232
154,1.74932,1.52232
155,1.74932,1.52232
156,1.74932,1.52232
157,1.74932,1.52232
158,1.74932,1.52232
159,1.74932,1.52232
160,1.74932,1.52232
161,1.74932,1.52232
162,1.74932,1.52232
163,1.74932,1.52232
164,1.74932,1.52232
165,1.74932,1.52232
166,1.74932,1.52232
167,1.74932,1.52232
168,1.76293,1.43101
169,1.76293,1.43101
170,1.76382,1.34289
171,1.76382,1.34289
172,1.76382,1.34289
173,1.76382,1.34289
174,1.76382,1.34289
175,1.78984,1.34289
176,1.78984,1.34289
177,1.78984,1.34289
178,1.78984,1.34289
179,1.78984,1.34289
180,1.78984,1.34289
181,1.78984,1.34289
182,1.78984,1.34289
183,1.78984,1.34289
184,1.78984,1.34289
185,1.78984,1.34289
186,1.78984,1.34289
187,1.80014,1.34289
188,1.80014,1.34289
189,1.80014,1.34289
190,1.80014,1.34289
191,1.80014,1.34289
192,1.80014,1.34289
193,1.80014,1.34289
194,1.80014,1.34289
195,1.80014,1.34289
196,1.80014,1.34289
197,1.80014,1.34289
198,1.80014,1.34289
199,1.98175,1.16128
200,1.98175,1.16128
201,1.98175,1.16128
202,2.06898,1.16128
203,2.10027,1.1168
204,2.10027,1.1168
205,2.20219,1.09713
206,2.20219,1.09713
207,2.20219,1.09713
208,2.20219,1.09713
209,2.20219,1.09713
210,2.20219,1.09713
211,2.21376,1.09713
212,2.21376,1.09713
213,2.21376,1.09713
214,2.21376,1.09713
215,2.21376,1.09713
216,2.21376,1.09713
217,2.21376,1.09713
218,2.21376,1.09713
219,2.21376,1.09713
220,2.22452,1.07866
221,2.22452,1.07866
222,2.22452,1.07866
223,2.22452,1.07866
224,2.23707,1.07565
225,2.23707,1.07565
226,2.23707,1.07565
227,2.23707,1.07565
228,2.23707,1.07565
229,2.23707,1.07565
230,2.23707,1.07565
231,2.23707,1.07565
232,2.2942,1.09713
233,2.2942,1.09713
234,2.2942,1.09713
235,2.34815,1.09713
236,2.34815,1.09713
237,2.34815,1.09713
238,2.34815,1.09713
239,2.34815,1.09713
240,2.34815,1.09713
241,2.34815,1.09713
242,2.34815,1.09713
243,2.34815,1.09713
244,2.34815,1.09713
245,2.34815,1.09713
246,2.34815,1.09713
247,2.37146,1.07565
248,2.37146,1.07565
249,2.394,1.10427
250,2.394,1.10427
251,2.394,1.10427
252,2.394,1.10427
253,2.41636,1.10427
254,2.41636,1.10427
255,2.41636,1.10427
256,2.50663,1.10427
257,2.50663,1.10427
258,2.50663,1.10427
259,2.50663,1.10427
260,2.55194,1.10836
261,2.55194,1.10836
262,2.55194,1.10836
263,2.55194,1.10836
264,2.57524,1.10836
265,2.57524,1.10836
266,2.57524,1.10836
267,2.59328,1.12984
268,2.59328,1.12984
269,2.59328,1.12984
270,2.59328,1.12984
271,2.59328,1.12984
272,2.6184,1.12984
273,2.6184,1.12984
274,2.6184,1.12984
275,2.6184,1.12984
276,2.6184,1.12984
277,2.63098,1.12984
278,2.63098,1.12984
279,2.63098,1.12984
280,2.63098,1.12984
281,2.63098,1.12984
282,2.63098,1.12984
283,2.63098,1.12984
284,2.63098,1.12984
285,2.63098,1.12984
286,2.63098,1.12984
287,2.63098,1.12984
288,2.63098,1.12984
289,2.63098,1.12984
290,2.63098,1.12984
291,2.63098,1.12984
292,2.63098,1.12984
293,2.63098,1.12984
294,2.63098,1.12984
295,2.63098,1.12984
296,2.63098,1.12984
297,2.63098,1.12984
298,2.63098,1.12984
299,2.63098,1.1388
300,2.63098,1.1388
301,2.63098,1.1388
302,2.63098,1.1388
303,2.63098,1.1388
304,2.63098,1.1388
305,2.63098,1.1388
306,2.63098,1.1388
307,2.63098,1.1388
308,2.63098,1.1388
309,2.63098,1.1388
310,2.63098,1.1388
311,2.64796,1.1388
312,2.64796,1.1388
313,2.64796,1.1388
314,2.64796,1.1388
315,2.64796,1.1388
316,2.64796,1.1388
317,2.64796,1.1388
318,2.64796,1.1388
319,2.64796,1.1388
320,2.64796,1.1388
321,2.64796,1.1388
322,2.64796,1.1388
323,2.64796,1.1388
324,2.64796,1.1388
325,2.64796,1.1388
326,2.64796,1.1388
327,2.64796,1.1388
328,2.64796,1.1388
329,2.64796,1.1388
330,2.64796,1.1388
331,2.64796,1.1388
332,2.64796,1.1388
333,2.64796,1.1388
334,2.64796,1.1388
335,2.64796,1.1388
336,2.64796,1.1388
337,2.64796,1.1388
338,2.64796,1.1388
339,2.64796,1.1388
340,2.64796,1.1388
341,2.64796,1.1388
342,2.64796,1.1388
343,2.64796,1.1388
344,2.64796,1.1388
345,2.64796,1.1388
346,2.64796,1.1388
347,2.64796,1.1388
348,2.64796,1.1388
349,2.64796,1.1388
350,2.64796,1.1388
351,2.64796,1.1388
352,2.64796,1.1388
353,2.64796,1.1388
354,2.64796,1.1388
355,2.64796,1.1388
356,2.64796,1.1388
357,2.64796,1.1388
358,2.64796,1.1388
359,2.64796,1.1388
360,2.64796,1.1388
361,2.64796,1.1388
362,2.64796,1.1388
363,2.64796,1.1388
364,2.64796,1.1388
365,2.64796,1.1388
366,2.64796,1.1388
367,2.64796,1.1388
368,2.64796,1.1388
369,2.64796,1.1388
370,2.64796,1.1388
371,2.64796,1.1388
372,2.64796,1.1388
373,2.64796,1.1388
374,2.64796,1.1388
375,2.64796,1.1388
376,2.64796,1.1388
377,2.64796,1.1388
378,2.64796,1.1388
379,2.64796,1.1388
380,2.64796,1.1388
381,2.64796,1.1388
382,2.64796,1.1388
383,2.64796,1.1388
384,2.64796,1.1388
385,2.64796,1.1388
386,2.64796,1.1388
387,2.64796,1.1388
388,2.64796,1.1388
389,2.64796,1.1388
390,2.64796,1.1388
391,2.64796,1.1388
392,2.64796,1.1388
393,2.64796,1.1388
394,2.64796,1.1388
395,2.64796,1.1388
396,2.64796,1.1388
397,2.64796,1.1388
398,2.64796,1.1388
399,2.82948,0.957285
400,2.82948,0.957285
401,2.82948,0.957285
402,2.82948,0.957285
403,2.82948,0.957285
404,2.82948,0.957285
405,2.82948,0.957285
406,2.82948,0.957285
407,2.82948,0.957285
408,2.83174,0.957285
409,2.84241,0.877954
410,2.84241,0.877954
411,2.84241,0.877954
