Generation,Train,Test
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1.02212,1
6,1.02212,1
7,1.02212,1
8,1.02212,1
9,1.02212,1
10,1.02212,1
11,1.02212,1
12,1.02212,1
13,1.02212,1
14,1.02212,1
15,1.02212,1
16,1.02212,1
17,1.02212,1
18,1.02212,1
19,1.02212,1
20,1.02212,1
21,1.02212,1
22,1.02212,1
23,1.02212,1
24,1.02212,1
25,1.02212,1
26,1.02212,1
27,1.02212,1
28,1.02212,1
29,1.02212,1
30,1.02212,1
31,1.02212,1
32,1.02212,1
33,1.02212,1
34,1.02212,1
35,1.02212,1
36,1.02212,1
37,1.02212,1
38,1.02212,1
39,1.02212,1
40,1.02212,1
41,1.02212,1
42,1.02212,1
43,1.02212,1
44,1.02212,1
45,1.02212,1
46,1.02212,1
47,1.02212,1
48,1.02212,1
49,1.02212,1
50,1.02212,1
51,1.02212,1
52,1.02212,1
53,1.02212,1
54,1.02212,1
55,1.02212,1
56,1.02212,1
57,1.02212,1
58,1.02212,1
59,1.05917,1
60,1.05917,1
61,1.05917,1
62,1.05917,1
63,1.05917,1
64,1.05917,1
65,1.05917,1
66,1.05917,1
67,1.05917,1
68,1.05917,1
69,1.05917,1
70,1.05917,1
71,1.05917,1
72,1.05917,1
73,1.05917,1
74,1.05917,1
75,1.05917,1
76,1.05917,1
77,1.05917,1
78,1.05917,1
79,1.05917,1
80,1.05917,1
81,1.05917,1
82,1.05917,1
83,1.05917,1
84,1.05917,1
85,1.05917,1
86,1.05917,1
87,1.05917,1
88,1.05917,1
89,1.05917,1
90,1.05917,1
91,1.05917,1
92,1.05917,1
93,1.05917,1
94,1.05917,1
95,1.05917,1
96,1.05917,1
97,1.05917,1
98,1.05917,1
99,1.05917,1
100,1.10268,1
101,1.10268,1
102,1.10268,1
103,1.10268,1
104,1.10268,1
105,1.18501,1
106,1.23085,0.939565
107,1.24975,0.915869
108,1.24975,0.915869
109,1.24975,0.915869
110,1.24975,0.915869
111,1.24975,0.915869
112,1.24975,0.915869
113,1.30873,0.915869
114,1.30873,0.915869
115,1.30873,0.915869
116,1.30873,0.915869
117,1.30873,0.915869
118,1.3244,0.915869
119,1.3313,0.91211
120,1.3313,0.91211
121,1.3313,0.91211
122,1.7085,0.750433
123,1.7085,0.750433
124,1.7085,0.750433
125,1.7085,0.750433
126,1.7085,0.750433
127,1.7085,0.750433
128,1.7085,0.750433
129,1.7085,0.750433
130,1.73018,0.750433
131,1.73018,0.750433
132,1.73307,0.750433
133,1.73307,0.750433
134,1.73307,0.750433
135,1.73307,0.750433
136,1.73307,0.750433
137,1.73307,0.750433
138,1.73307,0.750433
139,1.73307,0.750433
140,1.73307,0.750433
141,1.73307,0.750433
142,1.73307,0.750433
143,1.73307,0.750433
144,1.73307,0.750433
145,1.73307,0.750433
146,1.79554,0.750433
147,1.79554,0.750433
148,1.79554,0.750433
149,1.79554,0.750433
150,1.79554,0.750433
151,1.79554,0.750433
152,1.79554,0.750433
153,1.79554,0.750433
154,1.82027,0.750433
155,1.82027,0.750433
156,1.82027,0.750433
157,1.82027,0.750433
158,1.82027,0.750433
159,1.82027,0.750433
160,1.82027,0.750433
161,1.82464,0.714702
162,1.82464,0.714702
163,1.88124,0.714702
164,1.88124,0.714702
165,1.88124,0.714702
166,1.88451,0.714702
167,1.88451,0.714702
168,1.88451,0.714702
169,1.88451,0.714702
170,1.88935,0.714702
171,1.88935,0.714702
172,1.92464,0.714702
173,1.92464,0.714702
174,1.97999,0.718868
175,1.97999,0.718868
176,1.97999,0.718868
177,1.97999,0.718868
178,1.97999,0.718868
179,1.97999,0.718868
180,1.97999,0.718868
181,1.97999,0.718868
182,1.97999,0.718868
183,1.97999,0.718868
184,1.97999,0.718868
185,1.97999,0.718868
186,2.00743,0.712704
187,2.00743,0.712704
188,2.00743,0.712704
189,2.00743,0.712704
190,2.00743,0.712704
191,2.00743,0.712704
192,2.00747,0.712704
193,2.0266,0.712704
194,2.0266,0.712704
195,2.0266,0.712704
196,2.0266,0.712704
197,2.0266,0.712704
198,2.0266,0.712704
199,2.0266,1.1511
200,2.0266,1.1511
201,2.0266,1.1511
202,2.0266,1.1511
203,2.0266,1.1511
204,2.0266,1.1511
205,2.0266,1.1511
206,2.0266,1.1511
207,2.0266,1.1511
208,2.0266,1.1511
209,2.0266,1.1511
210,2.0266,1.1511
211,2.0266,1.1511
212,2.0266,1.1511
213,2.0266,1.1511
214,2.0266,1.1511
215,2.0266,1.1511
216,2.0266,1.1511
217,2.0266,1.1511
218,2.0266,1.1511
219,2.0266,1.1511
220,2.0266,1.1511
221,2.0266,1.1511
222,2.0266,1.1511
223,2.0266,1.1511
224,2.0266,1.1511
225,2.0266,1.1511
226,2.0266,1.1511
227,2.0266,1.1511
228,2.0266,1.1511
229,2.0266,1.1511
230,2.0266,1.1511
231,2.0266,1.1511
232,2.0266,1.1511
233,2.0266,1.1511
234,2.0266,1.1511
235,2.0266,1.1511
236,2.0266,1.1511
237,2.0266,1.1511
238,2.0266,1.1511
239,2.0266,1.1511
240,2.0266,1.1511
241,2.0266,1.1511
242,2.0266,1.1511
243,2.0266,1.1511
244,2.0266,1.1511
245,2.0266,1.1511
246,2.0266,1.1511
247,2.0266,1.1511
248,2.0266,1.1511
249,2.0266,1.1511
250,2.0266,1.1511
251,2.0266,1.1511
252,2.0266,1.1511
253,2.0266,1.1511
254,2.0266,1.1511
255,2.0266,1.1511
256,2.0266,1.1511
257,2.0266,1.1511
258,2.0266,1.1511
259,2.0266,1.1511
260,2.0266,1.1511
261,2.0266,1.1511
262,2.0266,1.1511
263,2.0266,1.1511
264,2.0266,1.1511
265,2.0266,1.1511
266,2.0266,1.1511
267,2.0266,1.1511
268,2.0266,1.1511
269,2.0266,1.1511
270,2.0266,1.1511
271,2.0266,1.1511
272,2.0266,1.1511
273,2.0266,1.1511
274,2.0266,1.1511
275,2.0266,1.1511
276,2.0266,1.1511
277,2.0266,1.1511
278,2.0266,1.1511
279,2.0266,1.1511
280,2.0266,1.1511
281,2.0266,1.1511
282,2.0266,1.1511
283,2.0266,1.1511
284,2.0266,1.1511
285,2.0266,1.1511
286,2.0266,1.1511
287,2.0266,1.1511
288,2.0266,1.1511
289,2.0266,1.1511
290,2.0266,1.1511
291,2.0266,1.1511
292,2.0266,1.1511
293,2.0266,1.1511
294,2.0266,1.1511
295,2.0266,1.1511
296,2.0266,1.1511
297,2.0266,1.1511
298,2.0266,1.1511
299,2.0266,0.848698
300,2.0266,0.848698
301,2.0266,0.848698
302,2.0266,0.848698
303,2.0266,0.848698
304,2.0266,0.848698
305,2.0266,0.848698
306,2.0266,0.848698
307,2.0266,0.848698
308,2.0266,0.848698
309,2.0266,0.848698
310,2.0266,0.848698
311,2.15159,0.899177
312,2.15159,0.899177
313,2.15826,0.92368
314,2.25512,0.92368
315,2.42744,0.987932
316,2.42744,0.987932
317,2.52184,0.995102
318,2.52184,0.995102
319,2.52184,0.995102
320,2.52184,0.995102
321,2.52184,0.995102
322,2.52184,0.995102
323,2.52184,0.995102
324,2.52184,0.995102
325,2.52184,0.995102
326,2.52184,0.995102
327,2.53171,0.992257
328,2.53171,0.992257
329,2.53171,0.992257
330,2.61747,0.985087
331,2.61747,0.985087
332,2.6187,0.858543
333,2.6187,0.858543
334,2.6187,0.858543
335,2.65188,0.992257
336,2.65188,0.992257
337,2.65188,0.992257
338,2.65311,0.858543
339,2.65311,0.858543
340,2.66173,0.858543
341,2.66173,0.858543
342,2.66173,0.858543
343,2.66173,0.858543
344,2.66173,0.858543
345,2.66173,0.858543
346,2.66173,0.858543
347,2.66173,0.858543
348,2.66173,0.858543
349,2.66173,0.858543
350,2.66173,0.858543
351,2.66173,0.858543
352,2.66173,0.858543
353,2.66173,0.858543
354,2.66173,0.858543
355,2.7176,0.890089
356,2.7176,0.890089
357,2.7176,0.890089
358,2.7176,0.890089
359,2.7176,0.890089
360,2.7176,0.890089
361,2.7176,0.890089
362,2.7176,0.890089
363,2.7176,0.890089
364,2.7176,0.890089
365,2.80043,0.890089
366,2.80043,0.890089
367,2.80136,0.890089
368,2.80136,0.890089
369,2.80136,0.890089
370,2.89587,0.995624
371,2.89587,0.995624
372,2.89587,0.995624
373,2.89587,0.995624
374,2.89749,0.985087
375,2.89749,0.985087
376,3.03376,0.985087
377,3.03376,0.985087
378,3.03376,0.985087
379,3.09584,0.985087
380,3.101,0.992257
381,3.101,0.992257
382,3.101,0.992257
383,3.101,0.992257
384,3.101,0.992257
385,3.101,0.992257
386,3.101,0.992257
387,3.101,0.992257
388,3.101,0.992257
389,3.101,0.992257
390,3.101,0.992257
391,3.10611,0.992257
392,3.10611,0.992257
393,3.10611,0.992257
394,3.10611,0.992257
395,3.10611,0.992257
396,3.10611,0.992257
397,3.11029,0.992257
398,3.11029,0.992257
399,3.11029,0.933366
400,3.11029,0.933366
401,3.11029,0.933366
402,3.11313,0.933366
403,3.11313,0.933366
404,3.11313,0.933366
405,3.11313,0.933366
406,3.11328,0.933366
407,3.11328,0.933366
408,3.11328,0.933366
409,3.11328,0.933366
410,3.11328,0.933366
411,3.11349,0.933366
412,3.11349,0.933366
413,3.11398,0.936005
414,3.11398,0.936005
415,3.11398,0.936005
416,3.11398,0.936005
417,3.11398,0.936005
418,3.11398,0.936005
419,3.11398,0.936005
420,3.17835,0.936005
421,3.17835,0.936005
422,3.17835,0.936005
423,3.17835,0.936005
424,3.17835,0.936005
425,3.17835,0.936005
426,3.17835,0.936005
427,3.17835,0.936005
428,3.17835,0.936005
429,3.17835,0.936005
430,3.17835,0.936005
431,3.17835,0.936005
432,3.17835,0.936005
433,3.17835,0.936005
434,3.17835,0.936005
435,3.18014,0.938453
436,3.18014,0.938453
437,3.18014,0.938453
438,3.18014,0.938453
439,3.18177,0.938453
440,3.18177,0.938453
441,3.18177,0.938453
442,3.18177,0.938453
443,3.18177,0.938453
444,3.18177,0.938453
445,3.18177,0.938453
446,3.18177,0.938453
447,3.1822,0.938453
448,3.1822,0.938453
449,3.1822,0.938453
450,3.1822,0.938453
451,3.1822,0.938453
452,3.1822,0.938453
453,3.1822,0.938453
454,3.1822,0.938453
455,3.1822,0.938453
456,3.1822,0.938453
457,3.1822,0.938453
458,3.1822,0.938453
459,3.1822,0.938453
460,3.1822,0.938453
461,3.1822,0.938453
462,3.1822,0.938453
463,3.1822,0.938453
464,3.1822,0.938453
465,3.1822,0.938453
466,3.1822,0.938453
467,3.1822,0.938453
468,3.1822,0.938453
469,3.1822,0.938453
470,3.1822,0.938453
471,3.1822,0.938453
472,3.1822,0.938453
473,3.1822,0.938453
474,3.1822,0.938453
475,3.1822,0.938453
476,3.1822,0.938453
477,3.1822,0.938453
478,3.1822,0.938453
479,3.1822,0.938453
480,3.1822,0.938453
481,3.1822,0.938453
482,3.1822,0.938453
483,3.1822,0.938453
484,3.1822,0.938453
485,3.1822,0.938453
486,3.1822,0.938453
487,3.1822,0.938453
488,3.1822,0.938453
489,3.1822,0.938453
490,3.1822,0.938453
491,3.1822,0.938453
492,3.1822,0.938453
493,3.1822,0.938453
494,3.1822,0.938453
495,3.1822,0.938453
496,3.1822,0.938453
497,3.1822,0.938453
498,3.1822,0.938453
499,3.1822,1
500,3.1822,1
501,3.1822,1
502,3.1822,1
503,3.1822,1
504,3.1822,1
505,3.1822,1
506,3.1822,1
507,3.1822,1
508,3.1822,1
509,3.1822,1
510,3.1822,1
511,3.1822,1
512,3.1822,1
513,3.1822,1
514,3.1822,1
515,3.1822,1
516,3.1822,1
517,3.1822,1
518,3.1822,1
519,3.1822,1
520,3.1822,1
521,3.1822,1
522,3.1822,1
523,3.1822,1
524,3.1822,1
525,3.1822,1
526,3.1822,1
527,3.1822,1
528,3.1822,1
529,3.1822,1
530,3.1822,1
531,3.1822,1
532,3.1822,1
533,3.1822,1
534,3.1822,1
535,3.1822,1
536,3.1822,1
537,3.1822,1
538,3.1822,1
539,3.1822,1
540,3.1822,1
541,3.1822,1
542,3.1822,1
543,3.1822,1
544,3.1822,1
545,3.1822,1
546,3.1822,1
547,3.1822,1
548,3.1822,1
549,3.1822,1
550,3.1822,1
551,3.1822,1
552,3.1822,1
553,3.1822,1
554,3.1822,1
555,3.1822,1
556,3.1822,1
557,3.1822,1
558,3.1822,1
559,3.1822,1
560,3.1822,1
561,3.1822,1
562,3.1822,1
563,3.1822,1
564,3.1822,1
565,3.1822,1
566,3.1822,1
567,3.1822,1
568,3.1822,1
569,3.1822,1
570,3.1822,1
571,3.1822,1
572,3.1822,1
573,3.1822,1
574,3.1822,1
575,3.1822,1
576,3.1822,1
577,3.1822,1
578,3.1822,1
579,3.1822,1
580,3.1822,1
581,3.1822,1
582,3.1822,1
583,3.1822,1
584,3.1822,1
585,3.1822,1
586,3.1822,1
587,3.1822,1
588,3.1822,1
589,3.1822,1
590,3.1822,1
591,3.1822,1
592,3.1822,1
593,3.1822,1
594,3.1822,1
595,3.1822,1
596,3.1822,1
597,3.1822,1
598,3.1822,1
599,3.1822,0.747207
600,3.1822,0.747207
601,3.1822,0.747207
602,3.1822,0.747207
603,3.1822,0.747207
604,3.22814,0.747207
605,3.22814,0.747207
606,3.22814,0.747207
607,3.22814,0.747207
608,3.22814,0.747207
609,3.22814,0.747207
610,3.22814,0.747207
611,3.22814,0.747207
612,3.22814,0.747207
613,3.22814,0.747207
614,3.22814,0.747207
615,3.22814,0.747207
616,3.22814,0.747207
617,3.22814,0.747207
618,3.22814,0.747207
619,3.22814,0.747207
620,3.22814,0.747207
621,3.22814,0.747207
622,3.22814,0.747207
623,3.22814,0.747207
624,3.22814,0.747207
625,3.22814,0.747207
626,3.22814,0.747207
627,3.22814,0.747207
628,3.22814,0.747207
629,3.22814,0.747207
630,3.22814,0.747207
631,3.22814,0.747207
632,3.22814,0.747207
633,3.22814,0.747207
634,3.22814,0.747207
635,3.22814,0.747207
636,3.22814,0.747207
637,3.22814,0.747207
638,3.22814,0.747207
639,3.22814,0.747207
640,3.22814,0.747207
641,3.22814,0.747207
642,3.22814,0.747207
643,3.22814,0.747207
644,3.22814,0.747207
645,3.22814,0.747207
646,3.22814,0.747207
647,3.22821,0.747207
648,3.23059,0.747207
649,3.23059,0.747207
650,3.23059,0.747207
651,3.23059,0.747207
652,3.23059,0.747207
653,3.23059,0.747207
654,3.23059,0.747207
655,3.23059,0.747207
656,3.23059,0.747207
657,3.23059,0.747207
658,3.23059,0.747207
659,3.23059,0.747207
660,3.23059,0.747207
661,3.23059,0.747207
662,3.23059,0.747207
663,3.23059,0.747207
664,3.23059,0.747207
665,3.23059,0.747207
666,3.23059,0.747207
667,3.23059,0.747207
668,3.23059,0.747207
669,3.23059,0.747207
670,3.23059,0.747207
671,3.23059,0.747207
672,3.23059,0.747207
673,3.23059,0.747207
674,3.23059,0.747207
675,3.23059,0.747207
676,3.23059,0.747207
677,3.23059,0.747207
678,3.23059,0.747207
679,3.23059,0.747207
680,3.23059,0.747207
681,3.23059,0.747207
682,3.23059,0.747207
683,3.23059,0.747207
684,3.23059,0.747207
685,3.23059,0.747207
686,3.23059,0.747207
687,3.23059,0.747207
688,3.23059,0.747207
689,3.23059,0.747207
690,3.23059,0.747207
691,3.23059,0.747207
692,3.23059,0.747207
693,3.23059,0.747207
694,3.23059,0.747207
695,3.23059,0.747207
696,3.23059,0.747207
697,3.23059,0.747207
698,3.23059,0.747207
699,3.23059,0.951881
700,3.23059,0.951881
701,3.23059,0.951881
702,3.23059,0.951881
703,3.23059,0.951881
704,3.23059,0.951881
705,3.23059,0.951881
706,3.23059,0.951881
707,3.23059,0.951881
708,3.23059,0.951881
709,3.23059,0.951881
710,3.23059,0.951881
711,3.23059,0.951881
712,3.23059,0.951881
713,3.23059,0.951881
714,3.23059,0.951881
715,3.23059,0.951881
716,3.23059,0.951881
717,3.23059,0.951881
718,3.23059,0.951881
719,3.23059,0.951881
720,3.23059,0.951881
721,3.23059,0.951881
722,3.23059,0.951881
723,3.23059,0.951881
724,3.23059,0.951881
725,3.23059,0.951881
726,3.23059,0.951881
727,3.23059,0.951881
728,3.23059,0.951881
729,3.23059,0.951881
730,3.23059,0.951881
731,3.23059,0.951881
732,3.23059,0.951881
733,3.23059,0.951881
734,3.23059,0.951881
735,3.23059,0.951881
736,3.23059,0.951881
737,3.23059,0.951881
738,3.23059,0.951881
739,3.23059,0.951881
740,3.23059,0.951881
741,3.23059,0.951881
742,3.23059,0.951881
743,3.23059,0.951881
744,3.23059,0.951881
745,3.23059,0.951881
746,3.23059,0.951881
747,3.23059,0.951881
748,3.23059,0.951881
749,3.23059,0.951881
750,3.23059,0.951881
751,3.23059,0.951881
752,3.23059,0.951881
753,3.23059,0.951881
754,3.23059,0.951881
755,3.23059,0.951881
756,3.23059,0.951881
757,3.23059,0.951881
758,3.23059,0.951881
759,3.23059,0.951881
760,3.23059,0.951881
761,3.23059,0.951881
762,3.23059,0.951881
