Generation,Train,Test
0,1.01591,1
1,1.01591,1
2,1.01591,1
3,1.01591,1
4,1.01591,1
5,1.01591,1
6,1.01591,1
7,1.01591,1
8,1.01591,1
9,1.01591,1
10,1.01591,1
11,1.01591,1
12,1.01591,1
13,1.01591,1
14,1.01591,1
15,1.01591,1
16,1.01591,1
17,1.01591,1
18,1.01591,1
19,1.01591,1
20,1.01591,1
21,1.01591,1
22,1.01591,1
23,1.01591,1
24,1.01591,1
25,1.05798,1
26,1.05798,1
27,1.05798,1
28,1.05798,1
29,1.05798,1
30,1.05798,1
31,1.05798,1
32,1.05798,1
33,1.05798,1
34,1.05798,1
35,1.05798,1
36,1.05798,1
37,1.05798,1
38,1.05798,1
39,1.05798,1
40,1.05798,1
41,1.05798,1
42,1.05798,1
43,1.05798,1
44,1.05798,1
45,1.05798,1
46,1.05798,1
47,1.05798,1
48,1.05798,1
49,1.05798,1
50,1.05798,1
51,1.05798,1
52,1.05798,1
53,1.05798,1
54,1.05798,1
55,1.05798,1
56,1.05798,1
57,1.05798,1
58,1.05798,1
59,1.05798,1
60,1.05798,1
61,1.05798,1
62,1.05798,1
63,1.05798,1
64,1.05798,1
65,1.05798,1
66,1.05798,1
67,1.05798,1
68,1.05798,1
69,1.05798,1
70,1.05798,1
71,1.05798,1
72,1.05798,1
73,1.05798,1
74,1.05798,1
75,1.05798,1
76,1.05798,1
77,1.05798,1
78,1.05798,1
79,1.05798,1
80,1.05798,1
81,1.05798,1
82,1.05798,1
83,1.05798,1
84,1.05798,1
85,1.05798,1
86,1.05798,1
87,1.05798,1
88,1.05798,1
89,1.05798,1
90,1.05798,1
91,1.05798,1
92,1.05798,1
93,1.05798,1
94,1.05798,1
95,1.05798,1
96,1.05798,1
97,1.05798,1
98,1.05798,1
99,1.05798,1.03405
100,1.05798,1.03405
101,1.05798,1.03405
102,1.05798,1.03405
103,1.05798,1.03405
104,1.05798,1.03405
105,1.05798,1.03405
106,1.05798,1.03405
107,1.05798,1.03405
108,1.05798,1.03405
109,1.05798,1.03405
110,1.05798,1.03405
111,1.09165,1.03405
112,1.09165,1.03405
113,1.09165,1.03405
114,1.09165,1.03405
115,1.09165,1.03405
116,1.09165,1.03405
117,1.09165,1.03405
118,1.09165,1.03405
119,1.09165,1.03405
120,1.09165,1.03405
121,1.09165,1.03405
122,1.09165,1.03405
123,1.09165,1.03405
124,1.09165,1.03405
125,1.11423,1.06811
126,1.11423,1.06811
127,1.15172,1
128,1.15172,1
129,1.15172,1
130,1.15172,1
131,1.18456,1
132,1.1998,1
133,1.1998,1
134,1.1998,1
135,1.1998,1
136,1.1998,1
137,1.23273,1.01519
138,1.23273,1.01519
139,1.23273,1.01519
140,1.23273,1.01519
141,1.23273,1.01519
142,1.23273,1.01519
143,1.23273,1.01519
144,1.2357,1.01519
145,1.2357,1.01519
146,1.2357,1.01519
147,1.2357,1.01519
148,1.24166,1
149,1.24166,1
150,1.24166,1
151,1.24166,1
152,1.24166,1
153,1.24166,1
154,1.24166,1
155,1.24166,1
156,1.24166,1
157,1.24166,1
158,1.24166,1
159,1.24166,1
160,1.24166,1
161,1.24166,1
162,1.24166,1
163,1.24166,1
164,1.24166,1
165,1.24166,1
166,1.24166,1
167,1.24166,1
168,1.24166,1
169,1.24166,1
170,1.25693,1
171,1.25693,1
172,1.25693,1
173,1.25693,1
174,1.25693,1
175,1.25693,1
176,1.25693,1
177,1.25693,1
178,1.26931,1
179,1.26931,1
180,1.26931,1
181,1.26931,1
182,1.26931,1
183,1.26931,1
184,1.26931,1
185,1.26931,1
186,1.29042,1
187,1.29042,1
188,1.29042,1
189,1.29042,1
190,1.29042,1
191,1.29042,1
192,1.29042,1
193,1.29042,1
194,1.29042,1
195,1.29042,1
196,1.29042,1
197,1.29042,1
198,1.29042,1
199,1.29042,1.04386
200,1.29042,1.04386
201,1.29042,1.04386
202,1.29042,1.04386
203,1.29042,1.04386
204,1.29042,1.04386
205,1.29042,1.04386
206,1.29042,1.04386
207,1.29042,1.04386
208,1.29042,1.04386
209,1.29042,1.04386
210,1.29042,1.04386
211,1.29042,1.04386
212,1.29042,1.04386
213,1.29042,1.04386
214,1.29042,1.04386
215,1.29042,1.04386
216,1.29042,1.04386
217,1.29042,1.04386
218,1.29042,1.04386
219,1.29042,1.04386
220,1.29042,1.04386
221,1.29042,1.04386
222,1.29042,1.04386
223,1.29042,1.04386
224,1.29042,1.04386
225,1.29042,1.04386
226,1.29042,1.04386
227,1.29042,1.04386
228,1.29042,1.04386
229,1.29042,1.04386
230,1.29042,1.04386
231,1.29042,1.04386
232,1.32246,1.02795
233,1.32246,1.02795
234,1.32246,1.02795
235,1.32246,1.02795
236,1.32246,1.02795
237,1.32246,1.02795
238,1.32246,1.02795
239,1.32246,1.02795
240,1.32246,1.02795
241,1.32246,1.02795
242,1.32246,1.02795
243,1.32246,1.02795
244,1.32246,1.02795
245,1.32246,1.02795
246,1.32246,1.02795
247,1.32246,1.02795
248,1.32246,1.02795
249,1.32246,1.02795
250,1.32246,1.02795
251,1.32246,1.02795
252,1.32246,1.02795
253,1.32246,1.02795
254,1.32246,1.02795
255,1.32246,1.02795
256,1.32246,1.02795
257,1.32246,1.02795
258,1.32246,1.02795
259,1.32246,1.02795
260,1.32366,1.02795
