Generation,Train,Test
0,0.276913,0.244163
1,0.313277,0.265657
2,0.287406,0.273405
3,0.586773,0.795403
4,0.58635,0.795786
5,0.586245,0.795881
6,0.58723,0.795037
7,0.586811,0.795369
8,0.586991,0.795227
9,0.586995,0.795224
10,0.586979,0.795237
11,0.586988,0.795229
12,0.586953,0.795257
13,0.586952,0.795258
14,0.586953,0.795257
15,0.586953,0.795257
16,0.586952,0.795258
17,0.586952,0.795258
18,0.586952,0.795258
19,0.586952,0.795258
20,0.58695,0.79526
21,0.58695,0.79526
22,0.58695,0.79526
23,0.586948,0.795261
24,0.586948,0.795261
25,0.586948,0.795261
26,0.586948,0.795261
27,0.586948,0.795261
28,0.586946,0.795262
29,0.586946,0.795262
30,0.586946,0.795262
31,0.586946,0.795262
32,0.586946,0.795262
33,0.586945,0.795264
34,0.586944,0.795264
35,0.586944,0.795264
36,0.586944,0.795264
37,0.586944,0.795264
38,0.586944,0.795264
39,0.586944,0.795264
40,0.586944,0.795264
41,0.586923,0.795281
42,0.586923,0.795281
43,0.586923,0.795281
44,0.586923,0.795281
45,0.586923,0.795281
46,0.586923,0.795281
47,0.586909,0.795292
48,0.586909,0.795292
49,0.586909,0.795292
50,0.586909,0.795292
51,0.586908,0.795293
52,0.586908,0.795293
53,0.586908,0.795293
54,0.586908,0.795293
55,0.586908,0.795293
56,0.586908,0.795293
57,0.586907,0.795294
58,0.586906,0.795294
59,0.586901,0.795298
60,0.586901,0.795298
61,0.586901,0.795298
62,0.586901,0.795298
63,0.5869,0.795299
64,0.5869,0.795299
65,0.5869,0.795299
66,0.5869,0.795299
67,0.5869,0.795299
68,0.586899,0.7953
69,0.586899,0.7953
70,0.586899,0.7953
71,0.586899,0.7953
72,0.586899,0.7953
73,0.586899,0.7953
74,0.586899,0.7953
75,0.586899,0.7953
76,0.586899,0.7953
77,0.586899,0.7953
78,0.586899,0.7953
79,0.586899,0.7953
80,0.586899,0.7953
81,0.586899,0.7953
82,0.586899,0.7953
83,0.586899,0.7953
84,0.586889,0.795308
85,0.586889,0.795308
86,0.586763,0.795412
87,0.586763,0.795412
88,0.586823,0.79536
89,0.586805,0.795374
90,0.586805,0.795374
91,0.586805,0.795374
92,0.586807,0.795373
93,0.586807,0.795373
94,0.586807,0.795373
95,0.586807,0.795373
96,0.586807,0.795373
97,0.586807,0.795373
98,0.586807,0.795373
99,0.586807,0.795373
100,0.586807,0.795373
101,0.586807,0.795373
102,0.586807,0.795373
103,0.586807,0.795373
104,0.586807,0.795373
105,0.586807,0.795373
106,0.586807,0.795373
107,0.586807,0.795373
108,0.586807,0.795373
109,0.586807,0.795373
110,0.586807,0.795373
111,0.586807,0.795373
112,0.586807,0.795373
113,0.586807,0.795373
114,0.586807,0.795373
115,0.586807,0.795373
116,0.586807,0.795373
117,0.586807,0.795373
118,0.586807,0.795373
119,0.586807,0.795373
120,0.586807,0.795373
121,0.586807,0.795373
122,0.586807,0.795373
123,0.586807,0.795373
124,0.586807,0.795373
125,0.586807,0.795373
126,0.586807,0.795373
127,0.586807,0.795373
128,0.586807,0.795373
129,0.586807,0.795373
130,0.586807,0.795373
131,0.586807,0.795373
132,0.586807,0.795373
133,0.586807,0.795373
134,0.586807,0.795373
135,0.586807,0.795373
136,0.586807,0.795373
137,0.586807,0.795373
138,0.586807,0.795373
139,0.586807,0.795373
140,0.586807,0.795373
141,0.586807,0.795373
142,0.586807,0.795373
143,0.586807,0.795373
144,0.586807,0.795373
145,0.586807,0.795373
146,0.586807,0.795373
147,0.586807,0.795373
148,0.586807,0.795373
149,0.586807,0.795373
150,0.586807,0.795373
151,0.586807,0.795373
152,0.586807,0.795373
153,0.586807,0.795373
154,0.586807,0.795373
155,0.586807,0.795373
156,0.586807,0.795373
157,0.586807,0.795373
158,0.586807,0.795373
159,0.586807,0.795373
160,0.586807,0.795373
161,0.586807,0.795373
162,0.586807,0.795373
163,0.586807,0.795373
164,0.586807,0.795373
165,0.586807,0.795373
166,0.586807,0.795373
167,0.586807,0.795373
168,0.586807,0.795373
169,0.586807,0.795373
170,0.586807,0.795373
171,0.586807,0.795373
172,0.586807,0.795373
173,0.586807,0.795373
174,0.586807,0.795373
175,0.586807,0.795373
176,0.586807,0.795373
177,0.586807,0.795373
178,0.586807,0.795373
179,0.586807,0.795373
180,0.586807,0.795373
181,0.586807,0.795373
182,0.586807,0.795373
183,0.586807,0.795373
184,0.586807,0.795373
185,0.586807,0.795373
186,0.586807,0.795373
187,0.586807,0.795373
188,0.586807,0.795373
189,0.586807,0.795373
190,0.586807,0.795373
191,0.586807,0.795373
192,0.586807,0.795373
193,0.586807,0.795373
194,0.586807,0.795373
195,0.586807,0.795373
196,0.586807,0.795373
197,0.586807,0.795373
198,0.586807,0.795373
199,0.586807,0.795373
200,0.586807,0.795373
201,0.586807,0.795373
202,0.586807,0.795373
203,0.586807,0.795373
204,0.586807,0.795373
205,0.586807,0.795373
206,0.586807,0.795373
207,0.586807,0.795373
208,0.586807,0.795373
209,0.586807,0.795373
210,0.586807,0.795373
211,0.586807,0.795373
212,0.586807,0.795373
213,0.586807,0.795373
214,0.586807,0.795373
215,0.586807,0.795373
216,0.586807,0.795373
217,0.586807,0.795373
218,0.586807,0.795373
219,0.586807,0.795373
220,0.586807,0.795373
221,0.586807,0.795373
222,0.586807,0.795373
223,0.586807,0.795373
224,0.586807,0.795373
225,0.586807,0.795373
226,0.586807,0.795373
227,0.586807,0.795373
228,0.586807,0.795373
229,0.586807,0.795373
230,0.586807,0.795373
231,0.586807,0.795373
232,0.586807,0.795373
233,0.586807,0.795373
234,0.586807,0.795373
235,0.586807,0.795373
236,0.586807,0.795373
237,0.586807,0.795373
238,0.586807,0.795373
239,0.586807,0.795373
240,0.586807,0.795373
241,0.586807,0.795373
242,0.586807,0.795373
243,0.586807,0.795373
244,0.586807,0.795373
245,0.586807,0.795373
246,0.586807,0.795373
247,0.586807,0.795373
248,0.586807,0.795373
249,0.586807,0.795373
250,0.586807,0.795373
251,0.586807,0.795373
252,0.586807,0.795373
253,0.586807,0.795373
254,0.586807,0.795373
255,0.586807,0.795373
256,0.586807,0.795373
257,0.586807,0.795373
258,0.586807,0.795373
259,0.586807,0.795373
260,0.586807,0.795373
261,0.586807,0.795373
262,0.586807,0.795373
263,0.586807,0.795373
264,0.586807,0.795373
265,0.586807,0.795373
266,0.586807,0.795373
267,0.586807,0.795373
268,0.586807,0.795373
269,0.586807,0.795373
270,0.586807,0.795373
271,0.586807,0.795373
272,0.586807,0.795373
273,0.586807,0.795373
274,0.586807,0.795373
275,0.586807,0.795373
276,0.586807,0.795373
277,0.586807,0.795373
278,0.586807,0.795373
279,0.586807,0.795373
280,0.586807,0.795373
281,0.586807,0.795373
282,0.586807,0.795373
283,0.586807,0.795373
284,0.586807,0.795373
285,0.586807,0.795373
286,0.586807,0.795373
287,0.586807,0.795373
288,0.586807,0.795373
289,0.586807,0.795373
290,0.586807,0.795373
291,0.586807,0.795373
292,0.586807,0.795373
293,0.586807,0.795373
294,0.586807,0.795373
295,0.586807,0.795373
296,0.586807,0.795373
297,0.586807,0.795373
298,0.586807,0.795373
299,0.586807,0.795373
300,0.586807,0.795373
301,0.586807,0.795373
302,0.586807,0.795373
303,0.586807,0.795373
304,0.586807,0.795373
305,0.586807,0.795373
306,0.586807,0.795373
307,0.586807,0.795373
308,0.586807,0.795373
309,0.586807,0.795373
310,0.586807,0.795373
311,0.586807,0.795373
312,0.586807,0.795373
313,0.586807,0.795373
314,0.586807,0.795373
315,0.586807,0.795373
316,0.586807,0.795373
317,0.586807,0.795373
318,0.586807,0.795373
319,0.586807,0.795373
320,0.586807,0.795373
321,0.586807,0.795373
322,0.586807,0.795373
323,0.586807,0.795373
324,0.586807,0.795373
325,0.586807,0.795373
326,0.586807,0.795373
327,0.586807,0.795373
328,0.586807,0.795373
329,0.586807,0.795373
330,0.586807,0.795373
331,0.586807,0.795373
332,0.586807,0.795373
333,0.586807,0.795373
334,0.586807,0.795373
335,0.586807,0.795373
336,0.586807,0.795373
337,0.586807,0.795373
338,0.586807,0.795373
339,0.586807,0.795373
340,0.586807,0.795373
341,0.586807,0.795373
342,0.586807,0.795373
343,0.586807,0.795373
344,0.586807,0.795373
345,0.586807,0.795373
346,0.586807,0.795373
347,0.586807,0.795373
348,0.586807,0.795373
349,0.586807,0.795373
350,0.586807,0.795373
351,0.586807,0.795373
352,0.586807,0.795373
353,0.586807,0.795373
354,0.586807,0.795373
355,0.586807,0.795373
356,0.586807,0.795373
357,0.586807,0.795373
358,0.586807,0.795373
359,0.586807,0.795373
360,0.586807,0.795373
361,0.586807,0.795373
362,0.586807,0.795373
363,0.586807,0.795373
364,0.586807,0.795373
365,0.586807,0.795373
366,0.586807,0.795373
367,0.586807,0.795373
368,0.586807,0.795373
369,0.586807,0.795373
370,0.586807,0.795373
371,0.586807,0.795373
372,0.586807,0.795373
373,0.586807,0.795373
374,0.586807,0.795373
375,0.586807,0.795373
376,0.586807,0.795373
377,0.586807,0.795373
378,0.586807,0.795373
379,0.586807,0.795373
380,0.586807,0.795373
381,0.586807,0.795373
382,0.586807,0.795373
383,0.586807,0.795373
384,0.586807,0.795373
385,0.586807,0.795373
386,0.586807,0.795373
387,0.586807,0.795373
388,0.586807,0.795373
389,0.586807,0.795373
390,0.586807,0.795373
391,0.586807,0.795373
392,0.586807,0.795373
393,0.586807,0.795373
394,0.586807,0.795373
395,0.586807,0.795373
396,0.586807,0.795373
397,0.586807,0.795373
398,0.586807,0.795373
399,0.586807,0.795373
400,0.586807,0.795373
401,0.586807,0.795373
402,0.586807,0.795373
403,0.586807,0.795373
404,0.586807,0.795373
405,0.586807,0.795373
406,0.586807,0.795373
407,0.586807,0.795373
408,0.586807,0.795373
409,0.586807,0.795373
410,0.586807,0.795373
411,0.586807,0.795373
412,0.586807,0.795373
413,0.586807,0.795373
414,0.586807,0.795373
415,0.586807,0.795373
416,0.586807,0.795373
417,0.586807,0.795373
418,0.586807,0.795373
419,0.586807,0.795373
420,0.586807,0.795373
421,0.586807,0.795373
422,0.586807,0.795373
423,0.586807,0.795373
424,0.586807,0.795373
425,0.586807,0.795373
426,0.586807,0.795373
427,0.586807,0.795373
428,0.586807,0.795373
429,0.586807,0.795373
430,0.586807,0.795373
431,0.586807,0.795373
432,0.586807,0.795373
433,0.586807,0.795373
434,0.586807,0.795373
435,0.586807,0.795373
436,0.586807,0.795373
437,0.586807,0.795373
438,0.586807,0.795373
439,0.586807,0.795373
440,0.586807,0.795373
441,0.586807,0.795373
442,0.586807,0.795373
443,0.586807,0.795373
444,0.586807,0.795373
445,0.586807,0.795373
446,0.586807,0.795373
447,0.586807,0.795373
448,0.586807,0.795373
449,0.586807,0.795373
450,0.586807,0.795373
451,0.586807,0.795373
452,0.586807,0.795373
453,0.586807,0.795373
454,0.586807,0.795373
455,0.586807,0.795373
456,0.586807,0.795373
457,0.586807,0.795373
458,0.586807,0.795373
459,0.586807,0.795373
460,0.586807,0.795373
461,0.586807,0.795373
462,0.586807,0.795373
463,0.586807,0.795373
464,0.586807,0.795373
465,0.586807,0.795373
466,0.586807,0.795373
467,0.586807,0.795373
468,0.586807,0.795373
469,0.586807,0.795373
470,0.586807,0.795373
471,0.586807,0.795373
472,0.586807,0.795373
473,0.586807,0.795373
474,0.586807,0.795373
475,0.586807,0.795373
476,0.586807,0.795373
477,0.586807,0.795373
478,0.586807,0.795373
479,0.586807,0.795373
480,0.586807,0.795373
481,0.586807,0.795373
482,0.586807,0.795373
483,0.586807,0.795373
484,0.586807,0.795373
485,0.586807,0.795373
486,0.586807,0.795373
487,0.586807,0.795373
488,0.586807,0.795373
489,0.586807,0.795373
490,0.586807,0.795373
491,0.586807,0.795373
492,0.586807,0.795373
493,0.586807,0.795373
494,0.586807,0.795373
495,0.586807,0.795373
496,0.586807,0.795373
497,0.586807,0.795373
498,0.586807,0.795373
499,0.586807,0.795373
500,0.586807,0.795373
501,0.586807,0.795373
502,0.586807,0.795373
