Generation,Train,Test
0,239635,71947
1,239635,33873
2,1.50866e-317,96428
3,305229,105084
4,271220,95741
5,305229,110647
6,271220,100331
7,271220,94133
8,305229,103055
9,271220,90595
10,305229,101457
11,271220,76889
12,239635,81291
13,239635,91643
14,305229,96228
15,305229,102736
16,271220,100264
17,305229,103491
18,271220,97027
19,305229,95240
20,305229,91680
21,305229,101259
22,271220,109564
23,271220,76892
24,239635,85773
25,305229,95210
26,305229,93771
27,305229,98202
28,305229,97906
29,305229,100306
30,271220,94089
31,305229,102680
32,271220,77919
33,239635,93561
34,305229,117062
35,332886,81225
36,239635,88357
37,305229,106175
38,271220,91922
39,305229,104114
40,271220,109959
41,271220,97880
42,305229,105386
43,271220,96479
44,305229,97580
45,305229,109490
46,271220,110191
47,271220,90974
48,305229,98981
49,305229,107188
50,271220,94177
51,305229,115097
52,271220,113696
53,271220,114532
54,271220,120110
55,332886,93607
56,305229,110925
57,271220,103312
58,271220,120184
59,332886,103069
60,271220,103351
61,271220,111331
62,271220,106161
63,271220,111590
64,271220,99447
65,305229,101987
66,271220,85333
67,305229,86970
68,305229,100561
69,271220,89543
70,305229,89265
71,305229,82719
72,239635,79498
73,239635,74846
74,239635,73819
75,239635,77029
76,239635,78446
77,239635,86978
78,305229,75878
79,239635,69571
80,239635,75722
81,239635,64182
82,3.22964e-305,77357
83,239635,63292
84,3.22964e-305,59380
85,3.22964e-305,78332
86,239635,72381
87,239635,55971
88,3.22964e-305,69750
89,239635,85472
90,305229,70133
91,239635,79125
92,239635,85805
93,305229,81778
94,239635,86852
95,305229,69069
96,3.22964e-305,79556
97,239635,88174
98,305229,66698
99,3.22964e-305,72258
100,239635,73445
101,239635,76131
102,239635,86082
103,305229,75443
104,239635,73969
105,239635,78139
106,239635,78646
107,239635,66269
108,3.22964e-305,73776
109,239635,80034
110,239635,70694
111,239635,81823
112,239635,75640
113,239635,75540
114,239635,82229
115,239635,75345
116,239635,77034
117,239635,78589
118,239635,79769
119,239635,75982
120,239635,78074
121,239635,77588
122,239635,84100
123,239635,97966
124,305229,89051
125,305229,93503
126,305229,84747
127,239635,74531
128,239635,91900
129,305229,81635
0,309870,71947
1,309870,33873
2,1.50866e-317,96428
3,268929,105084
4,133470,95741
5,268929,110647
6,133470,100331
7,133470,94133
8,268929,103055
9,133470,90595
10,268929,101457
11,133470,76889
12,309870,81291
13,309870,91643
14,268929,96228
15,268929,102736
16,133470,100264
17,268929,103491
18,133470,97027
19,268929,95240
20,268929,91680
21,268929,101259
22,133470,109564
23,133470,76892
24,309870,85773
25,268929,95210
26,268929,93771
27,268929,98202
28,268929,97906
29,268929,100306
30,133470,94089
31,268929,102680
32,133470,77919
33,309870,93561
34,268929,117062
35,102204,81225
36,309870,88357
37,268929,106175
38,133470,91922
39,268929,104114
40,133470,109959
41,133470,97880
42,268929,105386
43,133470,96479
44,268929,97580
45,268929,109490
46,133470,110191
47,133470,90974
48,268929,98981
49,268929,107188
50,133470,94177
51,268929,115097
52,133470,113696
53,133470,114532
54,133470,120110
55,102204,93607
56,268929,110925
57,133470,103312
58,133470,120184
59,102204,103069
60,133470,103351
61,133470,111331
62,133470,106161
63,133470,111590
64,133470,99447
65,268929,101987
66,133470,85333
67,268929,86970
68,268929,100561
69,133470,89543
70,268929,89265
71,268929,82719
72,309870,79498
73,309870,74846
74,309870,73819
75,309870,77029
76,309870,78446
77,309870,86978
78,268929,75878
79,309870,69571
80,309870,75722
81,309870,64182
82,3.2125e-305,77357
83,309870,63292
84,3.2125e-305,59380
85,3.2125e-305,78332
86,309870,72381
87,309870,55971
88,3.2125e-305,69750
89,309870,85472
90,268929,70133
91,309870,79125
92,309870,85805
93,268929,81778
94,309870,86852
95,268929,69069
96,3.2125e-305,79556
97,309870,88174
98,268929,66698
99,3.2125e-305,72258
100,309870,73445
101,309870,76131
102,309870,86082
103,268929,75443
104,309870,73969
105,309870,78139
106,309870,78646
107,309870,66269
108,3.2125e-305,73776
109,309870,80034
110,309870,70694
111,309870,81823
112,309870,75640
113,309870,75540
114,309870,82229
115,309870,75345
116,309870,77034
117,309870,78589
118,309870,79769
119,309870,75982
120,309870,78074
121,309870,77588
122,309870,84100
123,309870,97966
