Generation,Train,Test
0,0.804977,0.992109
1,0.86149,0.908792
2,0.635242,0.456444
3,0.371302,0.389008
4,0.329028,0.326509
5,0.340716,0.285436
6,0.284637,0.284314
7,0.319119,0.207064
8,0.283434,0.451126
9,0.44891,0.256645
10,0.493522,0.794356
11,0.391219,0.65747
12,0.606367,0.796676
13,0.407136,0.286139
14,0.430626,0.426027
15,0.482591,0.795282
16,0.479235,0.422183
17,0.48262,0.335762
18,0.491432,0.795287
19,0.482291,0.472335
20,0.584761,0.609224
21,0.514814,0.658085
22,0.585906,0.795381
23,0.381697,0.656255
24,0.471456,0.79538
25,0.481269,0.520822
26,0.385985,0.380379
27,0.585137,0.470659
28,0.586257,0.791897
29,0.589507,0.607964
30,0.382009,0.795378
31,0.480074,0.421962
32,0.513369,0.471887
33,0.27352,0.524355
34,0.480187,0.608403
35,0.47974,0.658061
36,0.487725,0.609306
37,0.575926,0.795378
38,0.404397,0.657956
39,0.506219,0.60826
40,0.605728,0.607587
41,0.490999,0.423175
42,0.59037,0.608673
43,0.503289,0.609282
44,0.389909,0.608552
45,0.567705,0.609306
46,0.470138,0.793829
47,0.37727,0.566822
48,0.444466,0.794379
49,0.602029,0.472822
50,0.490999,0.795171
51,0.585139,0.431788
52,0.491288,0.471596
53,0.482542,0.471044
54,0.386059,0.564876
55,0.382783,0.786341
56,0.484737,0.612012
57,0.508408,0.423748
58,0.484448,0.380288
59,0.49046,0.623352
60,0.603375,0.795377
61,0.443821,0.788769
62,0.528124,0.79535
63,0.584199,0.380853
64,0.342897,0.795376
65,0.491306,0.378433
66,0.494093,0.801845
67,0.492315,0.659767
68,0.398967,0.471374
69,0.402397,0.291809
70,0.585423,0.609252
71,0.58514,0.610477
72,0.480132,0.565748
73,0.357473,0.285936
74,0.46213,0.611159
75,0.348463,0.658127
76,0.384943,0.431703
77,0.415611,0.79421
78,0.599099,0.60949
79,0.243921,0.55642
80,0.572722,0.424279
81,0.387041,0.411926
82,0.483088,0.599388
83,0.595771,0.608935
